Stage,Match,Date,MVP,Map Result
Unknown,From The Gamer (0) vs T1 (3),"February 21, 2025 - 17:00 KST",ZEST,"Control: 1 vs 2 (Samoa)
Hybrid: 2 vs 3 (King's Row)
Escort: 0 vs 3 (Rialto)"
Unknown,Poker Face (1) vs New Era (3),"February 22, 2025 - 17:00 KST",KIVIS,"Control: 1 vs 2 (Lijiang Tower)
Escort: 1 vs 0 (Rialto)
Hybrid: 1 vs 2 (Blizzard World)
Push: 130.02m vs 139.39m (Esperança)"
Unknown,From The Gamer (3) vs New Era (0),"February 23, 2025 - 17:00 KST",HEESUNG,"Control: 2 vs 0 (Oasis)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 3 vs 0 (Route 66)"
Unknown,WAY (4) vs T1 (1),"February 28, 2025 - 19:20 KST",WhoRU,"Control: 1 vs 2 (Antarctic Peninsula)
Escort: 2 vs 1 (Havana)
Hybrid: 4 vs 3 (Numbani)
Push: 128.11m vs 57.18m (New Queen Street)
Flashpoint: 3 vs 2 (Suravasa)"
Unknown,ZETA DIVISION (4) vs WAY (2),"March 1, 2025 - 17:00 KST",Viol2t,"Control: 2 vs 1 (Samoa)
Push: 12.22m vs 124.14m (New Queen Street)
Hybrid: 3 vs 2 (King's Row)
Escort: 1 vs 0 (Havana)
Flashpoint: 1 vs 3 (Suravasa)
Control: 2 vs 1 (Lijiang Tower)"
Unknown,Crazy Raccoon (4) vs From The Gamer (0),"February 28, 2025 - 17:20 KST",Shu,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 3 vs 0 (Blizzard World)
Escort: 3 vs 2 (Havana)
Push: 135.83m vs 37.6m (Esperança)"
Unknown,Team Falcons (0) vs Crazy Raccoon (4),"March 1, 2025 - 20:20 KST",MAX,"Control: 1 vs 2 (Samoa)
Escort: 2 vs 3 (Havana)
Hybrid: 0 vs 1 (King's Row)
Push: 1.31m vs 142.41m (Esperança)"
Unknown,ZETA DIVISION (2) vs Crazy Raccoon (4),"March 2, 2025 - 19:15 KST",Shu,"Control: 0 vs 2 (Samoa)
Escort: 5 vs 4 (Havana)
Flashpoint: 0 vs 3 (Suravasa)
Hybrid: 2 vs 3 (King's Row)
Push: 92.7m vs 71.82m (Esperança)
Control: 1 vs 2 (Lijiang Tower)"
Unknown Group,FLC (FLC) vs NE (3),"January 24, 2025 - 17:00 KST",Stalk3r,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 3 vs 0 (New Junk City)
Hybrid: 4 vs 5 (King's Row)
Push: 124.18m vs 68.57m (Esperança)"
Unknown Group,CR (CR) vs ZETA (3),"January 24, 2025 - 19:30 KST",LIP,"Control: 2 vs 1 (Samoa)
Hybrid: 1 vs 2 (King's Row)
Escort: 5 vs 4 (Watchpoint: Gibraltar)
Flashpoint: 3 vs 1 (New Junk City)"
Unknown Group,PF (PF) vs WAY (0),"January 24, 2025 - 22:15 KST",WhoRU,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 3 (Numbani)
Push: 120.89m vs 120.9m (Esperança)"
Unknown Group,T1 (T1) vs VEC (3),"January 25, 2025 - 17:00 KST",D0NGHAK,"Control: 2 vs 0 (Antarctic Peninsula)
Flashpoint: 3 vs 1 (New Junk City)
Push: 102.53m vs 54.64m (Colosseo)"
Unknown Group,PF (PF) vs FLC (0),"January 25, 2025 - 18:50 KST",Proper,"Control: 0 vs 2 (Samoa)
Flashpoint: 0 vs 3 (Suravasa)
Push: 68.79m vs 126.93m (Esperança)"
Unknown Group,CR (CR) vs FTG (3),"January 25, 2025 - 20:20 KST",HeeSang,"Control: 0 vs 2 (Oasis)
Flashpoint: 3 vs 2 (Suravasa)
Push: 127.61m vs 125.1m (Esperança)
Hybrid: 3 vs 2 (Numbani)"
Unknown Group,WAY (WAY) vs VEC (3),"January 26, 2025 - 17:00 KST",Ade,"Control: 2 vs 0 (Samoa)
Flashpoint: 3 vs 0 (Suravasa)
Push: 139.62m vs 34.9m (Colosseo)"
Unknown Group,ZETA (ZETA) vs T1 (3),"January 26, 2025 - 18:30 KST",Viol2t,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 5 vs 4 (King's Row)
Flashpoint: 2 vs 3 (Suravasa)
Escort: 3 vs 1 (Watchpoint: Gibraltar)
Push: 112.2m vs 106.71m (Esperança)"
Unknown Group,NE (NE) vs FTG (0),"January 26, 2025 - 20:55 KST",SeonJun,"Control: 1 vs 2 (Samoa)
Push: 2.42m vs 128.11m (New Queen Street)
Hybrid: 0 vs 3 (King's Row)"
Unknown Group,T1 (T1) vs PF (3),"January 31, 2025 - 17:00 KST",D0NGHAK,"Control: 2 vs 0 (Oasis)
Hybrid: 3 vs 1 (Paraíso)
Push: 91.48m vs 116.99m (Esperança)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown Group,FTG (FTG) vs ZETA (2),"January 31, 2025 - 18:55 KST",Pelican,"Control: 2 vs 0 (Antarctic Peninsula)
Hybrid: 1 vs 3 (King's Row)
Flashpoint: 2 vs 3 (New Junk City)
Push: 116.06m vs 86.46m (Esperança)
Escort: 2 vs 3 (Watchpoint: Gibraltar)"
Unknown Group,VEC (VEC) vs FLC (1),"January 31, 2025 - 21:10 KST",Stalk3r,"Control: 0 vs 2 (Lijiang Tower)
Push: 60.65m vs 66.43m (Colosseo)
Flashpoint: 3 vs 1 (Suravasa)
Hybrid: 2 vs 3 (Numbani)"
