Team,Player
Toronto Defiant,MER1T
Toronto Defiant,Sugarfree
Toronto Defiant,SOMEONE
Toronto Defiant,Vega
Toronto Defiant,Rupal
LFO,Seeker
LFO,TOPDRAGON
LFO,zeruhh
LFO,MirroR
LFO,Lyar
LFO,MCD
Timeless,Rokit
Timeless,SeonJun
Timeless,Chopper
Timeless,Raikker
Timeless,iCy
Timeless,OPENER
Timeless,Cjay
Beluga's Platoon,Bun
Beluga's Platoon,Tristan
Beluga's Platoon,Snozlar
Beluga's Platoon,sawhill
Beluga's Platoon,Beluga
Beluga's Platoon,Halo
Beluga's Platoon,Neutral
Beluga's Platoon,Shaq
Students of the Game,scissors
Students of the Game,PGE
Students of the Game,Infekted
Students of the Game,Rakattack
Students of the Game,cal
M80,Hydron
M80,Pelican
M80,Hawk
M80,Lep
M80,UltraViolet
Luminosity Gaming,Vision
Luminosity Gaming,k1ng
Luminosity Gaming,Danteh
Luminosity Gaming,False
Luminosity Gaming,Joobi
Luminosity Gaming,Lukemino
Luminosity Gaming,squid
Daybreak (team),JUTSU
Daybreak (team),Hkeybroke
Daybreak (team),Melophobia
Daybreak (team),Zmurfiex
Daybreak (team),m5ri
Daybreak (team),Thunder
Daybreak (team),Hutch
Daybreak (team),Abyss
Shikigami,Dantwist
Shikigami,Abstract
Shikigami,Vintage
Shikigami,Sexyman69
Shikigami,Solo
Shikigami,Noctis
Shikigami,Goose
Shikigami,Graveyard
BangBangPow Galaxy,Haven
BangBangPow Galaxy,NOS
BangBangPow Galaxy,POUNDTOWN
BangBangPow Galaxy,Krawi
BangBangPow Galaxy,FishCake
BangBangPow Galaxy,Paintbrush
BangBangPow Galaxy,pink
Nah I'd Win,Jazza
Nah I'd Win,Glacial
Nah I'd Win,Garchomp
Nah I'd Win,Mayh3m
Nah I'd Win,Paradoxed
Nah I'd Win,Iszhtar
Pirates in Pyjamas,Kronik
Pirates in Pyjamas,LukeWarm
Pirates in Pyjamas,stone
Pirates in Pyjamas,Taejong
Pirates in Pyjamas,Stryder
Pirates in Pyjamas,Zholik
Pirates in Pyjamas,MagicM8Ball
Pirates in Pyjamas,Divinity
Dreamland,xten
Dreamland,Ryan
Dreamland,chime
Dreamland,Astronexz
Dreamland,cowman711
Dreamland,Aniyun
Dreamland,Grapes
Dreamland,Neb
Timeless Obsidian,Dove
Timeless Obsidian,Dynasty
Timeless Obsidian,Tred
Timeless Obsidian,Momentum
Timeless Obsidian,AJMR
Citrus Nation,Manually
Citrus Nation,TAP
Citrus Nation,Danny
Citrus Nation,Erikek
Citrus Nation,Zeb
Citrus Nation,durpee
Citrus Nation,Jacob
Citrus Nation,zman
Final Gambit,Foreshadow
Final Gambit,adios
Final Gambit,SONNETiCA
Final Gambit,Zelos
Final Gambit,HoJin
Final Gambit,HowsYourDay
Final Gambit,Passenger
M80,ugvuycfgb6
M80,Lyar
Vice (North American team),Sloth
Vice (North American team),nvm
Vice (North American team),Niann03
Vice (North American team),Axure
Vice (North American team),velvet
Vice (North American team),Hing3d
Vice (North American team),skier
FMCL,Seeker
FMCL,zeruhh
FMCL,WMaimone
FMCL,ariel2
FMCL,Lep
FMCL,Renko
Pirates in Pyjamas,Aniyun
DhillDucks,Tristan
DhillDucks,Reyzr
DhillDucks,Emmeryn
DhillDucks,Crime
DhillDucks,baz
DhillDucks,redex
DhillDucks,Bagel
DhillDucks,FrothyFilly7
Visored,Amadien
Visored,Lampent
Visored,karmez
Visored,Lava
Visored,zhulander
Visored,TwoFish
Visored,Shocker
Visored,massivepoop
Citrus Nation,AMADOU
Citrus Nation,Lethal
Citrus Nation,Astro
Citrus Nation,Neutral
Shikigami,Rymazing
Shikigami,Aspect
Shikigami,Unread
Nightmare Rotation,Fl4k
Nightmare Rotation,BastionMain
Nightmare Rotation,Heavenly
Nightmare Rotation,kyidk
Nightmare Rotation,Dirt
Nightmare Rotation,salamiboi200
Nightmare Rotation,K0RTAL
Nightmare Rotation,Schwartzy
Students of the Game,MirroR
UNC INC,Haven
UNC INC,peace
UNC INC,Ryan
UNC INC,cowman711
UNC INC,Hanbei
UNC INC,Neb
UNC INC,Paintbrush
Daybreak (team),Putter
Daybreak (team),Dynamic
Daybreak (team),Faded
Daybreak (team),Meman
Daybreak (team),BallerSteve
Who Is Goldfish,Bizz
Who Is Goldfish,azruf
Who Is Goldfish,dust
Who Is Goldfish,GoldFish
Who Is Goldfish,reverse
Toronto Defiant,Someone
NRG Shock,PGE
NRG Shock,scissors
NRG Shock,TR33
NRG Shock,Kellan
NRG Shock,Attack
NRG Shock,Rakattack
NRG Shock,cal
NRG Shock,UltraViolet
Citrus Nightmare,Kronik
Citrus Nightmare,TAP
Citrus Nightmare,stone
Citrus Nightmare,Zeb
Citrus Nightmare,Stryder
Citrus Nightmare,Jacob
Citrus Nightmare,Neutral
NTMR,Seeker
NTMR,Lethal
NTMR,zeruhh
NTMR,Infekted
NTMR,CLEAR
NTMR,Admiral
NTMR,Cjay
NTMR,zss
Timeless,Doomed
Timeless,Vision
Timeless,cuFFa
Timeless,Lukemino
Timeless,squid
Shikigami,AMADOU
Shikigami,Ryan
Shikigami,Tristan
TSM,Rokit
TSM,Chopper
TSM,k1ng
TSM,iCy
TSM,Lep
TSM,Renko
Avidity,Sloth
Avidity,wsps
Avidity,Eve
Avidity,pela
Avidity,TwolzZ
Avidity,NenWhy
Avidity,skier
Timeless Ethereal,Bun
Timeless Ethereal,xten
Timeless Ethereal,sawhill
Timeless Ethereal,sniper
Timeless Ethereal,Halo
Timeless Ethereal,scuffed
Arizona State University,Jman
Arizona State University,Anhoo
Arizona State University,Aurora
Arizona State University,Scylla
Arizona State University,Anghell1c
Arizona State University,zPanthr
Arizona State University,pdk
FLUFFY AIMERS,Haven
FLUFFY AIMERS,chime
FLUFFY AIMERS,Astro
FLUFFY AIMERS,Grapes
FLUFFY AIMERS,Divinity
FLUFFY AIMERS,Prota
Fries In The Bag,Bizz
Fries In The Bag,NOS
Fries In The Bag,dust
Fries In The Bag,Krawi
Fries In The Bag,Yimitra
Fries In The Bag,zhulander
Fries In The Bag,Aniyun
Fries In The Bag,GoldFish
Team Z,Excal
Team Z,Talisman
Team Z,peace
Team Z,Painkiller
Team Z,lenn
Team Z,Hanbei
Vice (North American team),JUTSU
Vice (North American team),Rymazing
Vice (North American team),Karova
Vice (North American team),Salmon
Tanuki Esports,Day
Tanuki Esports,T3MP
Tanuki Esports,Lich
Tanuki Esports,Aresona
Tanuki Esports,SoloZen
Tanuki Esports,Social
Tanuki Esports,Moncholo
Absolution,Soulsay
Absolution,Anderp
Absolution,MonkeyHappy
Absolution,UnluckyMain
Absolution,ross
Absolution,KiWii
NTMR,seeker
Citrus Nation,Kronik
Citrus Nation,Doomed
Citrus Nation,cuFFa
Citrus Nation,Lukemino
TSM,Vision
TSM,Raikker
TSM,Lyar
TSM,squid
O3 Splash,Sugureru
O3 Splash,elva
O3 Splash,Romani
O3 Splash,Otters
O3 Splash,khd
O3 Splash,K41
FLUFFY AIMERS,wsps
FLUFFY AIMERS,Ryan
FLUFFY AIMERS,Astronexz
FLUFFY AIMERS,Renko
Shikigami,Taejong
Shikigami,SeonJun
Shikigami,Lampent
Shikigami,m5ri
Shikigami,Aniyun
Tanuki Tapire,Jman
Tanuki Tapire,Anhoo
Tanuki Tapire,Aurora
Tanuki Tapire,Soax
Tanuki Tapire,zPanthr
EXN Zenith,ACETKILLER
EXN Zenith,Putter
EXN Zenith,Cyber
EXN Zenith,Fidel
EXN Zenith,Narwhal
EXN Zenith,Passenger
EXN Zenith,Meman
Ramattra Punch,Danny
Ramattra Punch,senna
Ramattra Punch,AMADOU
Ramattra Punch,Kashir
Ramattra Punch,Azurae
Ramattra Punch,cleopatra
Ramattra Punch,Anghell1c
Ramattra Punch,Salmon
Absolution,amadien
Absolution,Melophobia
Absolution,Z4CH
Absolution,velvet
Team Z,xten
Team Z,Peace
Team Z,Prota
Rad x Avidity,wub
Rad x Avidity,Bun
Rad x Avidity,Dreepy
Rad x Avidity,pela
Rad x Avidity,TwolzZ
Rad x Avidity,NenWhy
Rad x Avidity,scuffed
Blast Off Buds,vyese
Blast Off Buds,v1ctory
Blast Off Buds,Emmeryn
Blast Off Buds,baz
Blast Off Buds,Lava
Blast Off Buds,redex
Blast Off Buds,FrothyFilly7
Blast Off Buds,Gorilla
YFP Gaming,Ade
YFP Gaming,JUTSU
YFP Gaming,nvm
YFP Gaming,Axure
YFP Gaming,Hing3d
YFP Gaming,skier
YFP Gaming,luka
Team Falcons,Proper
Team Falcons,Stalk3r
Team Falcons,smurf
Team Falcons,Hanbin
Team Falcons,ChiYo
Team Falcons,Fielder
Team Falcons,SirMajed
Crazy Raccoon,LIP
Crazy Raccoon,HeeSang
Crazy Raccoon,Junbin
Crazy Raccoon,MAX
Crazy Raccoon,CH0R0NG
Crazy Raccoon,Shu
From The Gamer,Flora
From The Gamer,AlphaYi
From The Gamer,Belosrea
From The Gamer,BERNAR
From The Gamer,Viol2t
From The Gamer,FiNN
VARREL,Nico
VARREL,Qki
VARREL,KSG
VARREL,mint
VARREL,Qloud
VARREL,Mihawk
INSOMNIA (Japanese team),Daisy
INSOMNIA (Japanese team),Undersea
INSOMNIA (Japanese team),Leonopteryx
INSOMNIA (Japanese team),MasDog
INSOMNIA (Japanese team),BL1NK
INSOMNIA (Japanese team),CARU
Honeypot,Nyang
Honeypot,sgy
Honeypot,Adam
Honeypot,Overshake
Honeypot,Kame
Honeypot,Light
DAF,Ace
DAF,HyVision
DAF,CLEAR
DAF,Dank
DAF,Lumi
DAF,PaLee
DAF,IBaNG
YETI,KNIFE
YETI,Viper
YETI,D0NGHAK
YETI,Bliss
YETI,irony
Team Japan (OWCS),Undersea
Team Japan (OWCS),Mihawk
Team Japan (OWCS),MasDog
Team Japan (OWCS),KSG
Team Japan (OWCS),CARU
Team Japan (OWCS),BL1NK
Team Pacific,CLEAR
Team Pacific,Kame
Team Pacific,sgy
Team Pacific,Lumi
Team Pacific,Ace
Team Pacific,Overshake
Team Pacific,PaLee
Team Pacific,Light
Team Falcons,Happy
ZETA DIVISION,Flora
ZETA DIVISION,AlphaYi
ZETA DIVISION,Pelican
ZETA DIVISION,HEESUNG
ZETA DIVISION,BERNAR
ZETA DIVISION,Viol2t
ZETA DIVISION,FiNN
Crazy Raccoon,KNIFE
Lazuli,Hidden
Lazuli,CC2
Lazuli,Leonopteryx
Lazuli,GodSam
Lazuli,kiru01
Lazuli,Sakume
Lazuli,Neivis
Lazuli,Schwi
Nyam Gaming,Scarlett
Nyam Gaming,Daisy
Nyam Gaming,DOX
Nyam Gaming,chang
Nyam Gaming,Mimoza
Nyam Gaming,Ydot
Bleed Esports,HVS
Bleed Esports,Ace
Bleed Esports,SeungAn
Bleed Esports,lumi
Bleed Esports,PaLee
Bleed Esports,MAKA
99DIVINE,sgy
99DIVINE,Colourhex
99DIVINE,R3K
99DIVINE,OPENER
99DIVINE,Lightt
99DIVINE,RAYMOMO
Poker Face,Proud
Poker Face,ChoiSehwan
Poker Face,JaeWoo
Poker Face,Belosrea
Poker Face,Jasm1ne
Poker Face,FiXa
Poker Face,Simple
Poker Face,CARU
Twisted Minds,LBBD7
Twisted Minds,Quartz
Twisted Minds,Youbi
Twisted Minds,KSAA
Twisted Minds,Kellex
Twisted Minds,Skai
Twisted Minds,Slay
ENCE,Kai
ENCE,kevster
ENCE,Sauna
ENCE,Vestola
ENCE,ghost91
ENCE,Masaa
ENCE,Crimzo
ROC Esports,loljkhaha
ROC Esports,Checkmate
ROC Esports,TVNT
ROC Esports,AOY
ROC Esports,Izayaki
Spacestation Gaming,SparkR
Spacestation Gaming,Backbone
Spacestation Gaming,Seicoe
Spacestation Gaming,Hadi
Spacestation Gaming,FunnyAstro
Spacestation Gaming,Landon
Ex Oblivione,sHockWave
Ex Oblivione,Clowd
Ex Oblivione,Cookie084
Ex Oblivione,Chase
Ex Oblivione,crispy
Ex Oblivione,Khenail
Sheer Cold,Condi
Sheer Cold,xzodyal
Sheer Cold,W1ll
Sheer Cold,NKZ
Sheer Cold,Skytorr
Sheer Cold,ilppi13
Sheer Cold,Strebor
Sheer Cold,yoham
Quick Esports,phi
Quick Esports,Dannedd
Quick Esports,Grathen
Quick Esports,Shax
Quick Esports,Daan
Quick Esports,Twolzz
Quick Esports,Dolla
Quick Esports,Abheek
Team Peps,Hybrid
Team Peps,Naga
Team Peps,Stellios
Team Peps,BenBest
Team Peps,FDGod
Team Peps,Kronus
Nu.age,Dip
Nu.age,SharP
Nu.age,Doge
Nu.age,Buddie
Nu.age,Natsuki
LeftRightGnight,Lethal
LeftRightGnight,WMaimone
LeftRightGnight,cuFFa
LeftRightGnight,ariel2
LeftRightGnight,Scyle
LeftRightGnight,Admiral
LeftRightGnight,Galaa
AWW YEAH,Kaya
AWW YEAH,KayZzeR
AWW YEAH,Ken
AWW YEAH,Necros
AWW YEAH,chazm
AWW YEAH,Isack
AWW YEAH,Abbs
AWW YEAH,h9mpe
A One Man Army,Skitsa
A One Man Army,Avo
A One Man Army,Theomatic
A One Man Army,Olli
A One Man Army,ANJ
Celtas,kai41
Celtas,Zydra
Celtas,Depsi
Celtas,Tama
Celtas,Podonova
Celtas,gcb
Bingus,Lutu
Bingus,SterbeGern
Bingus,Jack
Bingus,Helmerdrake
Bingus,Waynon
EF Flexodiax,Kurama
EF Flexodiax,Tricky
EF Flexodiax,Sonne
EF Flexodiax,Reisu
EF Flexodiax,RodFD
A-Square Tengu,Nielou
A-Square Tengu,Kabetaijin
A-Square Tengu,ImScared22
A-Square Tengu,KZR
A-Square Tengu,Neliozu
ENCE,Chase
Twisted Minds,Admiral
Peace and Love,loren
Peace and Love,Psych0
Peace and Love,KaiBa
Peace and Love,Ailiseu
Peace and Love,eis
Peace and Love,Bya
Peace and Love,abheek
Ataraxia,phi
Ataraxia,Sauna
Ataraxia,Shax
Ataraxia,Dannedd
Ataraxia,Erikek
Ataraxia,Dolla
Ataraxia,Galaa
Ataraxia,MCD
Deimpero,china
Deimpero,Kio
Deimpero,KroxZ
Deimpero,GOGO
Deimpero,Schef
Deimpero,EgS
Team Peps,xzodyal
Team Peps,Tred
Team Peps,yoham
Team Peps,Lv1Crook
Ex Oblivione,Daan
Ex Oblivione,TwolzZ
Supershy,Pak
Supershy,Zorrow
Supershy,W1ll
Supershy,Raajaro
Supershy,Hitori
Supershy,Sobek
Supershy,Tekuno
Supershy,R3flect
A One Man Army,Wex
A One Man Army,Strebor
EF Flexodiax,unto
Metaboiz,icav
Metaboiz,Philion
Metaboiz,FakeJake
Metaboiz,Kapey774
Metaboiz,teksol
Metaboiz,Flipper
AWW YEAH,Isak
AWW YEAH,Chazm
AWW YEAH,Sypeh
Rocstars,roho
Rocstars,gucci
Rocstars,TVNT
Rocstars,AOY
Rocstars,Scyle
Sheer Cold,Kilaa
Sheer Cold,M3WS
Sheer Cold,Romani
Sheer Cold,Soax
Sheer Cold,Natlocks
SCHMUNGUS,Zerggy
SCHMUNGUS,Qrxu
SCHMUNGUS,Bogur
SCHMUNGUS,eskay
SCHMUNGUS,mL7
ENCE,WMaimone
ENCE,Kellex
ENCE,Skairipa
Gaimin Gladiators,Niko
Gaimin Gladiators,xzodyal
Gaimin Gladiators,Tred
Gaimin Gladiators,FDGod
Gaimin Gladiators,yoham
Ex Oblivione,Loren
Ex Oblivione,gucci
Ex Oblivione,kaiBa
Ex Oblivione,Ailiseu
Ex Oblivione,eisgnom
Ex Oblivione,ANJ
Ex Oblivione,Xeriongdh
Virtus.pro,sHockWave
Virtus.pro,Sauna
Virtus.pro,Raajaro
Virtus.pro,Galaa
Virtus.pro,Khenail
Twisted Minds,TVNT
Twisted Minds,Bliss
Twisted Minds,vigilante
Wasp X Ohhhh No,Qrxu
Wasp X Ohhhh No,Hêv
Wasp X Ohhhh No,WhisPerz
Wasp X Ohhhh No,Redmoosegoat
Wasp X Ohhhh No,Ostrix
Wasp X Ohhhh No,KDM
Wasp X Ohhhh No,ilppi13
Hypnos,delusion
Hypnos,kio
Hypnos,sxj
Hypnos,Skytorr
Hypnos,CaptainPrash
Hypnos,MCD
Vendetta (European team),china
Vendetta (European team),cookie084
Vendetta (European team),Hybrid
Vendetta (European team),crispy
Vendetta (European team),Lv1Crook
AWW YEAH,Gurkmeister
AWW YEAH,coolboy163
A One Man Army,TOPDRAGON
A One Man Army,Alpha
A One Man Army,Bonkey
A One Man Army,D0nghun
Supershy,Stellios
Supershy,Podonova
SrPeakCheck,Dannedd
SrPeakCheck,Dip
SrPeakCheck,phi
SrPeakCheck,LhCloudy
SrPeakCheck,Kronus
SrPeakCheck,ghost91
SrPeakCheck,Olli
Al Qadsiah,Psych0
Al Qadsiah,Scyle
Al Qadsiah,Kayeose
Al Qadsiah,Haku
Al Qadsiah,Facator
Metaboiz,PoroPlays
Metaboiz,flipper
Metaboiz,Katekomi
Ohana Aloha,Dawson
Ohana Aloha,Escanor
Ohana Aloha,roho
Ohana Aloha,Majin
Ohana Aloha,Deme
Ohana Aloha,Chaba
Ohana Aloha,alba
Ohana Aloha,Schef
Virtus.pro,Clowd
Spacestation Gaming,KSAA
Twisted Minds,MCD
Piece of Cake,Naga
Piece of Cake,xzodyal
Piece of Cake,Tred
Piece of Cake,Scyle
Piece of Cake,crispy
SrPeakCheck,Phi
SrPeakCheck,ilppi13
Team Peps,Pak
Team Peps,Kilaa
Team Peps,KroxZ
Team Peps,GOGO
Team Peps,Xeriongdh
Quick Esports,Ken
Quick Esports,loren
Quick Esports,DarkLordAoD
Quick Esports,Hitori
Quick Esports,Strebor
Quick Esports,yoham
Wasp X Ohhhh No,Gurkmeister
Wasp X Ohhhh No,Chaba
Wasp X Ohhhh No,eden
A One Man Army,eisgnom
Ex Oblivione,Zorrow
Ex Oblivione,sxj
Ex Oblivione,Skytorr
Ex Oblivione,CaptainPrash
Ex Oblivione,tekuno
Team G4mbit,Szymondki
Team G4mbit,Reinsch
Team G4mbit,sonder
Team G4mbit,Yukej
Team G4mbit,Santyx
Team G4mbit,fate
Negative Mental Attitude,Miraculous
Negative Mental Attitude,gucci
Negative Mental Attitude,Mesopos
Negative Mental Attitude,TommeX
Negative Mental Attitude,Alba
Hypnos,Bones
Hypnos,JesperSwag
Hypnos,Matriera
Hypnos,SLEEK
Hypnos,Lars
Hypnos,Neliozu
Hypnos,Pingu
Hypnos,VoltsA
Metaboiz,Centralapan
Metaboiz,gcb
Vendetta (European team),ANJ
Vendetta (European team),Kronus
M80,Happy
NRG Shock,Infekted
Twisted Minds,akay
Team Hydron,Hydron
Team Hydron,JAKE
Team Hydron,Reinforce
Team Hydron,eskay
Team Hydron,alphabet
Team Danteh,Jay3
Team Danteh,Danteh
Team Danteh,emongg
Team Danteh,Sainttx
Team Danteh,AVRL
NTMR,zzz
ENCE,Skai
Team Jake,Henry
Team Jake,Toniki
Team Jake,JAKE
Team Jake,Eskay
Team Jake,Bogur
Team Reinforce,Poko
Team Reinforce,Jay3
Team Reinforce,Reinforce
Team Reinforce,Illusion
Team Reinforce,Danny Lim
