Team,Player
Toronto Defiant,MER1T
Toronto Defiant,Sugarfree
Toronto Defiant,SOMEONE
Toronto Defiant,Vega
Toronto Defiant,Rupal
M80,Happy
M80,Pelican
M80,Hawk
M80,Lyar
M80,UltraViolet
NRG Shock,PGE
NRG Shock,scissors
NRG Shock,Infekted
NRG Shock,Rakattack
NRG Shock,cal
Spacestation Gaming,SparkR
Spacestation Gaming,Backbone
Spacestation Gaming,Seicoe
Spacestation Gaming,Hadi
Spacestation Gaming,FunnyAstro
Spacestation Gaming,Landon
ENCE,Kai
ENCE,kevster
ENCE,Chase
ENCE,Vestola
ENCE,Masaa
ENCE,ghost91
Twisted Minds,Youbi
Twisted Minds,akay
Twisted Minds,Skai
Twisted Minds,Admiral
Twisted Minds,Slay
Crazy Raccoon,LIP
Crazy Raccoon,HeeSang
Crazy Raccoon,Junbin
Crazy Raccoon,MAX
Crazy Raccoon,CH0R0NG
Crazy Raccoon,Shu
Team Falcons,Proper
Team Falcons,Stalk3r
Team Falcons,smurf
Team Falcons,Hanbin
Team Falcons,ChiYo
Team Falcons,Fielder
Team Falcons,SirMajed
Team Hydron,Hydron
Team Hydron,JAKE
Team Hydron,Reinforce
Team Hydron,eskay
Team Hydron,alphabet
Team Danteh,Jay3
Team Danteh,Danteh
Team Danteh,emongg
Team Danteh,Sainttx
Team Danteh,AVRL
