Team,Player
Toronto Defiant,MER1T
Toronto Defiant,Sugarfree
Toronto Defiant,Someone
Toronto Defiant,Vega
Toronto Defiant,Rupal
NRG Shock,PGE
NRG Shock,scissors
NRG Shock,TR33
NRG Shock,Kellan
NRG Shock,Attack
NRG Shock,Rakattack
NRG Shock,cal
NRG Shock,UltraViolet
NTMR,seeker
NTMR,Lethal
NTMR,zeruhh
NTMR,Infekted
NTMR,CLEAR
NTMR,Admiral
NTMR,Cjay
NTMR,zss
Citrus Nation,Kronik
Citrus Nation,Doomed
Citrus Nation,TAP
Citrus Nation,cuFFa
Citrus Nation,Zeb
Citrus Nation,Lukemino
Citrus Nation,Jacob
Citrus Nation,Neutral
TSM,Vision
TSM,k1ng
TSM,Rokit
TSM,Raikker
TSM,Lyar
TSM,squid
O3 Splash,Sugureru
O3 Splash,elva
O3 Splash,Romani
O3 Splash,Otters
O3 Splash,khd
O3 Splash,K41
FLUFFY AIMERS,wsps
FLUFFY AIMERS,Haven
FLUFFY AIMERS,chime
FLUFFY AIMERS,Ryan
FLUFFY AIMERS,Astronexz
FLUFFY AIMERS,Grapes
FLUFFY AIMERS,Renko
FLUFFY AIMERS,Divinity
Shikigami,Taejong
Shikigami,SeonJun
Shikigami,Lampent
Shikigami,Solo
Shikigami,m5ri
Shikigami,Noctis
Shikigami,Graveyard
Shikigami,Aniyun
Tanuki Tapire,Jman
Tanuki Tapire,Anhoo
Tanuki Tapire,Aurora
Tanuki Tapire,Soax
Tanuki Tapire,zPanthr
EXN Zenith,ACETKILLER
EXN Zenith,Putter
EXN Zenith,Cyber
EXN Zenith,Fidel
EXN Zenith,Narwhal
EXN Zenith,Passenger
EXN Zenith,Meman
Ramattra Punch,Danny
Ramattra Punch,senna
Ramattra Punch,AMADOU
Ramattra Punch,Kashir
Ramattra Punch,Azurae
Ramattra Punch,cleopatra
Ramattra Punch,Anghell1c
Ramattra Punch,Salmon
Absolution,amadien
Absolution,Melophobia
Absolution,Soulsay
Absolution,Z4CH
Absolution,MonkeyHappy
Absolution,velvet
Absolution,KiWii
Team Z,xten
Team Z,Peace
Team Z,Excal
Team Z,Talisman
Team Z,Painkiller
Team Z,lenn
Team Z,Hanbei
Team Z,Prota
Rad x Avidity,wub
Rad x Avidity,Bun
Rad x Avidity,Dreepy
Rad x Avidity,pela
Rad x Avidity,TwolzZ
Rad x Avidity,NenWhy
Rad x Avidity,scuffed
Blast Off Buds,vyese
Blast Off Buds,v1ctory
Blast Off Buds,Emmeryn
Blast Off Buds,baz
Blast Off Buds,Lava
Blast Off Buds,redex
Blast Off Buds,FrothyFilly7
Blast Off Buds,Gorilla
YFP Gaming,Ade
YFP Gaming,JUTSU
YFP Gaming,nvm
YFP Gaming,Axure
YFP Gaming,Hing3d
YFP Gaming,skier
YFP Gaming,luka
