Team,Player
ENCE,Kai
ENCE,kevster
ENCE,WMaimone
ENCE,Chase
ENCE,Vestola
ENCE,Skairipa
ENCE,Kellex
Virtus.pro,sHockWave
Virtus.pro,Sauna
Virtus.pro,Clowd
Virtus.pro,Raajaro
Virtus.pro,Galaa
Virtus.pro,Khenail
Spacestation Gaming,SparkR
Spacestation Gaming,Backbone
Spacestation Gaming,Seicoe
Spacestation Gaming,Hadi
Spacestation Gaming,KSAA
Spacestation Gaming,FunnyAstro
Spacestation Gaming,Landon
Twisted Minds,Quartz
Twisted Minds,Youbi
Twisted Minds,LBBD7
Twisted Minds,TVNT
Twisted Minds,Bliss
Twisted Minds,MCD
Piece of Cake,Naga
Piece of Cake,xzodyal
Piece of Cake,Tred
Piece of Cake,Scyle
Piece of Cake,crispy
SrPeakCheck,Dannedd
SrPeakCheck,Phi
SrPeakCheck,LhCloudy
SrPeakCheck,ghost91
SrPeakCheck,ilppi13
Team Peps,Pak
Team Peps,Kilaa
Team Peps,Stellios
Team Peps,KroxZ
Team Peps,GOGO
Team Peps,FDGod
Team Peps,Xeriongdh
Quick Esports,Ken
Quick Esports,loren
Quick Esports,DarkLordAoD
Quick Esports,Hitori
Quick Esports,Strebor
Quick Esports,yoham
Wasp X Ohhhh No,Hêv
Wasp X Ohhhh No,Gurkmeister
Wasp X Ohhhh No,Ostrix
Wasp X Ohhhh No,KDM
Wasp X Ohhhh No,Chaba
Wasp X Ohhhh No,eden
A One Man Army,Avo
A One Man Army,TOPDRAGON
A One Man Army,Theomatic
A One Man Army,eisgnom
A One Man Army,Alpha
A One Man Army,D0nghun
Ex Oblivione,Zorrow
Ex Oblivione,sxj
Ex Oblivione,Skytorr
Ex Oblivione,CaptainPrash
Ex Oblivione,tekuno
Team G4mbit,Szymondki
Team G4mbit,Reinsch
Team G4mbit,sonder
Team G4mbit,Yukej
Team G4mbit,Santyx
Team G4mbit,fate
Negative Mental Attitude,Miraculous
Negative Mental Attitude,gucci
Negative Mental Attitude,Mesopos
Negative Mental Attitude,TommeX
Negative Mental Attitude,Alba
Hypnos,Bones
Hypnos,JesperSwag
Hypnos,Matriera
Hypnos,SLEEK
Hypnos,Lars
Hypnos,Neliozu
Hypnos,Pingu
Hypnos,VoltsA
Metaboiz,icav
Metaboiz,Philion
Metaboiz,FakeJake
Metaboiz,PoroPlays
Metaboiz,Centralapan
Metaboiz,teksol
Metaboiz,flipper
Metaboiz,gcb
Vendetta (European team),china
Vendetta (European team),cookie084
Vendetta (European team),Hybrid
Vendetta (European team),ANJ
Vendetta (European team),Kronus
