Team,Player
Toronto Defiant,MER1T
Toronto Defiant,Sugarfree
Toronto Defiant,Someone
Toronto Defiant,Vega
Toronto Defiant,Rupal
NTMR,seeker
NTMR,zeruhh
NTMR,Infekted
NTMR,CLEAR
NTMR,Admiral
NTMR,Cjay
NTMR,zzz
NRG Shock,PGE
NRG Shock,scissors
NRG Shock,TR33
NRG Shock,Kellan
NRG Shock,Attack
NRG Shock,Rakattack
NRG Shock,cal
NRG Shock,UltraViolet
Spacestation Gaming,SparkR
Spacestation Gaming,Backbone
Spacestation Gaming,Seicoe
Spacestation Gaming,Hadi
Spacestation Gaming,KSAA
Spacestation Gaming,FunnyAstro
Spacestation Gaming,Landon
ENCE,Kai
ENCE,kevster
ENCE,WMaimone
ENCE,Chase
ENCE,Vestola
ENCE,Skai
ENCE,Kellex
Twisted Minds,Quartz
Twisted Minds,Youbi
Twisted Minds,LBBD7
Twisted Minds,TVNT
Twisted Minds,Bliss
Twisted Minds,MCD
Team Falcons,Happy
Team Falcons,Proper
Team Falcons,Stalk3r
Team Falcons,smurf
Team Falcons,Hanbin
Team Falcons,ChiYo
Team Falcons,Fielder
Team Falcons,SirMajed
Crazy Raccoon,LIP
Crazy Raccoon,HeeSang
Crazy Raccoon,Junbin
Crazy Raccoon,MAX
Crazy Raccoon,CH0R0NG
Crazy Raccoon,Shu
Team Jake,Henry
Team Jake,Toniki
Team Jake,JAKE
Team Jake,Eskay
Team Jake,Bogur
Team Reinforce,Poko
Team Reinforce,Jay3
Team Reinforce,Reinforce
Team Reinforce,Illusion
Team Reinforce,Danny Lim
