Team,Player
Toronto Defiant,MER1T
Toronto Defiant,Sugarfree
Toronto Defiant,SOMEONE
Toronto Defiant,Vega
Toronto Defiant,Rupal
LFO,Seeker
LFO,TOPDRAGON
LFO,zeruhh
LFO,MirroR
LFO,Lyar
LFO,MCD
Timeless,Rokit
Timeless,SeonJun
Timeless,Chopper
Timeless,Raikker
Timeless,iCy
Timeless,OPENER
Timeless,Cjay
Beluga's Platoon,Bun
Beluga's Platoon,Tristan
Beluga's Platoon,Snozlar
Beluga's Platoon,sawhill
Beluga's Platoon,Beluga
Beluga's Platoon,Halo
Beluga's Platoon,Neutral
Beluga's Platoon,Shaq
Students of the Game,scissors
Students of the Game,PGE
Students of the Game,Infekted
Students of the Game,Rakattack
Students of the Game,cal
M80,Hydron
M80,Pelican
M80,Hawk
M80,Lep
M80,UltraViolet
Luminosity Gaming,Vision
Luminosity Gaming,k1ng
Luminosity Gaming,Danteh
Luminosity Gaming,False
Luminosity Gaming,Joobi
Luminosity Gaming,Lukemino
Luminosity Gaming,squid
Daybreak (team),JUTSU
Daybreak (team),Hkeybroke
Daybreak (team),Melophobia
Daybreak (team),Zmurfiex
Daybreak (team),m5ri
Daybreak (team),Thunder
Daybreak (team),Hutch
Daybreak (team),Abyss
Shikigami,Dantwist
Shikigami,Abstract
Shikigami,Vintage
Shikigami,Sexyman69
Shikigami,Solo
Shikigami,Noctis
Shikigami,Goose
Shikigami,Graveyard
BangBangPow Galaxy,Haven
BangBangPow Galaxy,NOS
BangBangPow Galaxy,POUNDTOWN
BangBangPow Galaxy,Krawi
BangBangPow Galaxy,FishCake
BangBangPow Galaxy,Paintbrush
BangBangPow Galaxy,pink
Nah I'd Win,Jazza
Nah I'd Win,Glacial
Nah I'd Win,Garchomp
Nah I'd Win,Mayh3m
Nah I'd Win,Paradoxed
Nah I'd Win,Iszhtar
Pirates in Pyjamas,Kronik
Pirates in Pyjamas,LukeWarm
Pirates in Pyjamas,stone
Pirates in Pyjamas,Taejong
Pirates in Pyjamas,Stryder
Pirates in Pyjamas,Zholik
Pirates in Pyjamas,MagicM8Ball
Pirates in Pyjamas,Divinity
Dreamland,xten
Dreamland,Ryan
Dreamland,chime
Dreamland,Astronexz
Dreamland,cowman711
Dreamland,Aniyun
Dreamland,Grapes
Dreamland,Neb
Timeless Obsidian,Dove
Timeless Obsidian,Dynasty
Timeless Obsidian,Tred
Timeless Obsidian,Momentum
Timeless Obsidian,AJMR
Citrus Nation,Manually
Citrus Nation,TAP
Citrus Nation,Danny
Citrus Nation,Erikek
Citrus Nation,Zeb
Citrus Nation,durpee
Citrus Nation,Jacob
Citrus Nation,zman
Final Gambit,Foreshadow
Final Gambit,adios
Final Gambit,SONNETiCA
Final Gambit,Zelos
Final Gambit,HoJin
Final Gambit,HowsYourDay
Final Gambit,Passenger
