Stage,Match,Date,MVP,Map Result
Group,TTS (TTS) vs TM (0),"May 1, 2024 - 02:00 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 0 vs 1 (Hollywood)
: ? vs ? (Rialto)"
Group,PEPS (PEPS) vs QUI (2),"May 1, 2024 - 03:00 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 3 vs 2 (Hollywood)
: ? vs ? (Shambali Monastery)"
Group,CEL (CEL) vs SSG (0),"May 3, 2024 - 00:00 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 0 vs 1 (Eichenwalde)
: ? vs ? (Route 66)"
Group,TEMP (TEMP) vs ROCS (2),"May 1, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 2 vs 1 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
Group,SPY (SPY) vs MTB (2),"May 1, 2024 - 01:00 KST",없음,"Control: 2 vs 1 (Samoa)
Hybrid: 3 vs 1 (Hollywood)
: ? vs ? (Route 66)"
Group,ENCE (ENCE) vs AY (2),"May 5, 2024 - 03:00 KST",없음,"Control: 2 vs 0 (Oasis)
Hybrid: 3 vs 1 (Hollywood)
: ? vs ? (Route 66)"
Group,MVE (MVE) vs NUA (0),"May 1, 2024 - 02:00 KST",없음,"Control: 0 vs 2 (Oasis)
Hybrid: 3 vs 4 (Eichenwalde)
: ? vs ? (Rialto)"
Group,R8 (R8) vs ATA (0),"May 1, 2024 - 02:00 KST",없음,"Control: 0 vs 2 (Oasis)
Hybrid: 4 vs 5 (Hollywood)
: ? vs ? (Rialto)"
Group,QUI (QUI) vs TTS (2),"May 3, 2024 - 04:00 KST",없음,"Control: 2 vs 1 (Samoa)
: 0 vs 0 (Midtown)
Escort: 2 vs 1 (Rialto)"
Group,SSG (SSG) vs PEPS (2),"May 3, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 6 vs 4 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
Group,ROCS (ROCS) vs CEL (1),"May 3, 2024 - 02:00 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 0 vs 1 (Hollywood)
Escort: 0 vs 3 (Junkertown)"
Group,MTB (MTB) vs TEMP (2),"May 6, 2024 - 01:45 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 4 (Eichenwalde)
Escort: 4 vs 3 (Shambali Monastery)"
Group,NUA (NUA) vs ENCE (0),"May 3, 2024 - 02:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 0 vs 1 (Midtown)
: ? vs ? (Shambali Monastery)"
Group,ATA (ATA) vs MVE (2),"May 3, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 1 (Eichenwalde)
: ? vs ? (Rialto)"
Group,R8 (R8) vs TM (1),"May 3, 2024 - 02:00 KST",없음,"Control: 0 vs 2 (Oasis)
Hybrid: 4 vs 3 (Eichenwalde)
Escort: 0 vs 1 (Route 66)"
Group,TTS (TTS) vs SSG (0),"May 8, 2024 - 02:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 1 vs 2 (Eichenwalde)
: ? vs ? (Junkertown)"
Group,PEPS (PEPS) vs ROCS (2),"May 8, 2024 - 02:00 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 3 vs 2 (Eichenwalde)
: ? vs ? (Junkertown)"
Group,CEL (CEL) vs MTB (2),"May 9, 2024 - 03:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 4 vs 5 (Eichenwalde)
Escort: 3 vs 1 (Shambali Monastery)"
Group,TEMP (TEMP) vs AY (2),"May 8, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 2 (Eichenwalde)
: ? vs ? (Rialto)"
Group,SPY (SPY) vs NUA (2),"May 11, 2024 - 04:00 KST",없음,"Control: 2 vs 1 (Oasis)
Hybrid: 3 vs 2 (Eichenwalde)
: ? vs ? (Route 66)"
Group,ENCE (ENCE) vs MVE (2),"May 8, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Busan)
Hybrid: 5 vs 4 (Eichenwalde)
: ? vs ? (Rialto)"
Group,QUI (QUI) vs R8 (0),"May 8, 2024 - 02:00 KST",없음,"Control: 1 vs 2 (Nepal)
Hybrid: 1 vs 2 (Eichenwalde)
: ? vs ? (Rialto)"
Group,TM (TM) vs ATA (2),"May 8, 2024 - 02:00 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 2 vs 1 (Eichenwalde)
: ? vs ? (Route 66)"
Group,ROCS (ROCS) vs TTS (2),"May 10, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 1 (Eichenwalde)
: ? vs ? (Rialto)"
Group,MTB (MTB) vs PEPS (0),"May 10, 2024 - 01:00 KST",없음,"Control: 0 vs 2 (Busan)
Hybrid: 1 vs 2 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
Group,NUA (NUA) vs SOV (0),"May 10, 2024 - 02:00 KST",없음,"Control: 1 vs 2 (Oasis)
Hybrid: 1 vs 2 (Eichenwalde)
: ? vs ? (Route 66)"
Group,MVE (MVE) vs SPY (0),"May 10, 2024 - 02:00 KST",없음,"Control: 0 vs 2 (Oasis)
Hybrid: 1 vs 2 (Eichenwalde)
: ? vs ? (Rialto)"
Group,ATA (ATA) vs ENCE (2),"May 10, 2024 - 02:00 KST",없음,"Control: 2 vs 1 (Busan)
Hybrid: 3 vs 1 (Hollywood)
: ? vs ? (Rialto)"
Group,R8 (R8) vs SSG (0),"May 10, 2024 - 02:00 KST",없음,"Control: 0 vs 2 (Busan)
Hybrid: 0 vs 1 (Eichenwalde)
: ? vs ? (Junkertown)"
Group,TM (TM) vs QUI (2),"May 10, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 1 (Eichenwalde)
: ? vs ? (Route 66)"
Group,TTS (TTS) vs MTB (2),"May 15, 2024 - 02:00 KST",없음,"Control: 1 vs 2 (Samoa)
Hybrid: 4 vs 3 (Midtown)
Escort: ? vs ? (Rialto)"
Group,PEPS (PEPS) vs AY (2),"May 15, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 0 (Eichenwalde)
: ? vs ? (Route 66)"
Group,CEL (CEL) vs NUA (0),"May 14, 2024 - 02:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 1 vs 2 (Eichenwalde)
: ? vs ? (Route 66)"
Group,SOV (SOV) vs MVE (2),"May 15, 2024 - 02:00 KST",없음,"Control: 2 vs 1 (Oasis)
Hybrid: 3 vs 2 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
Group,SPY (SPY) vs ENCE (0),"May 15, 2024 - 03:00 KST",없음,"Control: 0 vs 2 (Oasis)
Hybrid: 0 vs 1 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
Group,ROCS (ROCS) vs R8 (0),"May 15, 2024 - 02:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 2 vs 3 (Eichenwalde)
: ? vs ? (Rialto)"
