Stage,Match,Date,MVP,Map Result
Lower Bracket Round 1,Spacestation (3) vs AWW YEAH (0),"August 30, 2024 - 01:00 KST",Hadi,"Control: 2 vs 0 (Busan)
Hybrid: 3 vs 2 (King's Row)
Flashpoint: 3 vs 2 (Suravasa)"
Lower Bracket Round 1,Virtus.pro (3) vs A One Man Army (0),"August 30, 2024 - 01:00 KST",Hadi,"Control: 2 vs 0 (Lijiang Tower)
Escort: 1 vs 0 (Dorado)
Hybrid: 2 vs 1 (Eichenwalde)"
Lower Bracket Round 1,Spacestation (2) vs Virtus.pro (3),"August 31, 2024 - 01:10 KST",Sauna,"Control: 2 vs 1 (Lijiang Tower)
Escort: 1 vs 3 (Junkertown)
Push: 53.02m vs 130.9m (Runasapi)
Flashpoint: 3 vs 1 (New Junk City)
Hybrid: 2 vs 3 (King's Row)"
Lower Bracket Round 1,ENCE (3) vs Hypnos (0),"August 30, 2024 - 01:00 KST",Sauna,"Control: 2 vs 0 (Nepal)
Escort: 3 vs 1 (Dorado)
Hybrid: 3 vs 1 (Eichenwalde)"
Lower Bracket Round 1,Twisted Minds (3) vs Supershy (0),"August 30, 2024 - 01:00 KST",Sauna,"Control: 2 vs 1 (Lijiang Tower)
Push: 128.81m vs 65.31m (Colosseo)
Flashpoint: 3 vs 1 (New Junk City)"
Lower Bracket Round 1,ENCE (3) vs Twisted Minds (0),"August 31, 2024 - 03:10 KST",kevster,"Control: 2 vs 1 (Lijiang Tower)
Escort: 2 vs 1 (Circuit Royal)
Flashpoint: 3 vs 0 (New Junk City)"
Lower Bracket Round 1,Virtus.pro (0) vs ENCE (3),"September 1, 2024 - 02:30 KST",Vestola,"Control: 0 vs 2 (Lijiang Tower)
Escort: 0 vs 1 (Shambali Monastery)
Hybrid: 0 vs 1 (King's Row)"
Lower Bracket Round 1,AWW YEAH (1) vs A One Man Army (3),"August 30, 2024 - 02:30 KST",TOPDRAGON,"Control: 0 vs 2 (Samoa)
Escort: 3 vs 2 (Shambali Monastery)
Hybrid: 2 vs 3 (Paraiso)
Flashpoint: 2 vs 3 (Suravasa)"
Lower Bracket Round 1,Twisted Minds (3) vs A One Man Army (0),"September 1, 2024 - 01:20 KST",Quartz,"Control: 2 vs 0 (Lijiang Tower)
Escort: 1 vs 0 (Dorado)
Hybrid: 2 vs 1 (Eichenwalde)"
Lower Bracket Round 1,Hypnos (3) vs Supershy (2),"August 30, 2024 - 04:00 KST",Skytorr,"Control: 2 vs 1 (Lijiang Tower)
Escort: 1 vs 2 (Shambali Monastery)
Hybrid: 3 vs 2 (Eichenwalde)
Flashpoint: 1 vs 3 (New Junk City)
Push: 133.04m vs 86.13m (Colosseo)"
Lower Bracket Round 1,Spacestation (3) vs Hypnos (1),"August 31, 2024 - 04:30 KST",Seicoe,"Control: 2 vs 0 (Lijiang Tower)
Escort: 1 vs 2 (Dorado)
Push: 144.86m vs 3.04m (Runasapi)
Hybrid: 3 vs 0 (Eichenwalde)"
Lower Bracket Round 1,Twisted Minds (1) vs Spacestation (3),"September 1, 2024 - 03:10 KST",SparkR,"Control: 2 vs 0 (Samoa)
Escort: 0 vs 2 (Circuit Royal)
Flashpoint: 0 vs 3 (New Junk City)
Push: 58.86m vs 124.38m (Colosseo)"
