Stage,Match,Date,MVP,Map Result
Group,REVATI x NTMR (3) vs MFC X Supreme (1),"September 2, 2024 - 22:00 KST",Hofac,"Control: 2 vs 1 (Nepal)
Flashpoint: 3 vs 0 (New Junk City)
Escort: 2 vs 3 (Circuit Royal)
Hybrid: 2 vs 1 (King's Row)"
Group,Namekuji Brothers (3) vs Telomere (0),"September 3, 2024 - 19:00 KST",NewJ,"Control: 2 vs 0 (Samoa)
Flashpoint: 3 vs 2 (New Junk City)
Hybrid: 3 vs 0 (Paraíso)"
Group,MFC X Supreme (2) vs Namekuji Brothers (3),"September 9, 2024 - 21:00 KST",Nsesl,"Control: 2 vs 1 (Samoa)
Escort: 4 vs 3 (Dorado)
Hybrid: 2 vs 3 (Paraiso)
Push: 84.76m vs 86.51m (Runasapi)
Flashpoint: 2 vs 3 (New Junk City)"
Third Place Match,Nyam Gaming (3) vs REVATI x NTMR (1),"September 10, 2024 - 19:00 KST",Daisy,"Control: 2 vs 0 (Lijiang Tower)
Escort: 2 vs 1 (Dorado)
Hybrid: 4 vs 5 (King's Row)
Flashpoint: 3 vs 2 (New Junk City)"
Third Place Match,VARREL (1) vs Nyam Gaming (3),"September 11, 2024 - 19:00 KST",Scarlett,"Control: 0 vs 2 (Samoa)
Hybrid: 3 vs 2 (Blizzard World)
Escort: 0 vs 3 (Circuit Royal)
Push: 85.5m vs 117.76m (Runasapi)"
Third Place Match,INSOMNIA (3) vs Namekuji Brothers (0),"September 10, 2024 - 21:05 KST",Ade,"Control: 2 vs 1 (Lijiang Tower)
Escort: 3 vs 2 (Dorado)
Hybrid: 1 vs 0 (Paraiso)"
Third Place Match,Lazuli (3) vs INSOMNIA (2),"September 11, 2024 - 20:50 KST",Leonopteryx,"Control: 2 vs 1 (Samoa)
Push: 116.97m vs 116.98m (Runasapi)
Escort: 4 vs 3 (Circuit Royal)
Flashpoint: 2 vs 3 (Suravasa)
Hybrid: 2 vs 1 (King's Row)"
Third Place Match,Nyam Gaming (1) vs Lazuli (4),"September 15, 2024 - 13:00 KST",Leonopteryx,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 3 (Blizzard World)
Escort: 3 vs 4 (Circuit Royal)
Push: 144.86m vs 45.57m (Runasapi)
Flashpoint: 1 vs 3 (Suravasa)"
Third Place Match,VARREL (3) vs INSOMNIA (0),"September 11, 2024 - 23:50 KST",KSG,"Control: 2 vs 1 (Samoa)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 3 vs 2 (Circuit Royal)"
Group,INS (INS) vs REV (3),"August 12, 2024 - 19:00 KST",Undersea,"Control: 1 vs 2 (Nepal)
Escort: 0 vs 3 (Shambali Monastery)
Flashpoint: 3 vs 0 (Suravasa)
Hybrid: 3 vs 2 (Paraiso)
Push: 135.94m vs 15.28m (Colosseo)"
Group,MFCSP (MFCSP) vs NMB (3),"August 12, 2024 - 21:00 KST",Romani,"Control: 2 vs 1 (Lijiang Tower)
Escort: 5 vs 3 (Junkertown)
Hybrid: 1 vs 2 (Blizzard World)
Flashpoint: 1 vs 3 (Suravasa)
Push: 121.08m vs 55.53m (Runasapi)"
Group,NG (NG) vs VL (2),"August 13, 2024 - 00:15 KST",KSG,"Control: 0 vs 2 (Lijiang Tower)
Push: 0.22m vs 144.86m (Runasapi)
Hybrid: 2 vs 1 (King's Row)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 1 vs 2 (Dorado)"
Group,TLM (TLM) vs LAZ (0),"August 13, 2024 - 19:00 KST",Hidden,"Control: 0 vs 2 (Lijiang Tower)
Unknown: 0 vs 3 (Suravasa)
Push: 0m vs 144.86m (Runasapi)"
Group,NG (NG) vs MFCSP (3),"August 13, 2024 - 20:20 KST",DOX,"Control: 2 vs 0 (Samoa)
Flashpoint: 3 vs 0 (Suravasa)
Push: 66.24m vs 72.03m (Runasapi)
Escort: 1 vs 2 (Circuit Royal)
Hybrid: 2 vs 1 (Blizzard World)"
Group,REV (REV) vs NMB (3),"August 13, 2024 - 23:00 KST",Hofac,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 1 vs 0 (King's Row)
Flashpoint: 3 vs 1 (Suravasa)"
Group,INS (INS) vs TLM (3),"August 14, 2024 - 19:00 KST",Ade,"Control: 2 vs 0 (Samoa)
Flashpoint: 3 vs 0 (Suravasa)
Hybrid: 1 vs 0 (Blizzard World)"
Group,VL (VL) vs LAZ (2),"August 14, 2024 - 20:10 KST",Hidden,"Control: 2 vs 0 (Samoa)
Hybrid: 2 vs 3 (Eichenwalde)
Push: 28.37m vs 139.48m (Colosseo)
Escort: 2 vs 1 (Shambali Monastery)
Flashpoint: 2 vs 3 (Suravasa)"
Group,MFCSP (MFCSP) vs REV (0),"August 14, 2024 - 22:00 KST",Fearful,"Control: 1 vs 2 (Nepal)
Push: 62.39m vs 127.73m (Runasapi)
Flashpoint: 1 vs 3 (Suravasa)"
Group,TLM (TLM) vs NG (0),"August 19, 2024 - 19:00 KST",Mimoza,"Control: 0 vs 2 (Nepal)
Flashpoint: 0 vs 3 (Suravasa)
Escort: 1 vs 3 (Circuit Royal)"
Group,NMB (NMB) vs VL (0),"August 19, 2024 - 20:30 KST",KSG,"Control: 0 vs 2 (Nepal)
Hybrid: 2 vs 3 (Paraiso)
Flashpoint: 0 vs 3 (Suravasa)"
