Stage,Match,Date,MVP,Map Result
Lower Bracket Round 1,Personate Gang (0) vs RTFM (3),"February 29, 2024 - 19:00 KST",Hope,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 3 (Blizzard World)
Push: 25.79m vs 142.41m (Esperança)"
Lower Bracket Round 1,DAF (3) vs Fade (0),"February 29, 2024 - 20:30 KST",HyVision,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 1 vs 0 (Hollywood)
Push: 128.09m vs 0m (New Queen Street)"
Lower Bracket Round 1,RTFM (0) vs DAF (3),"February 29, 2024 - 21:30 KST",CLEAR,"Control: 0 vs 2 (Samoa)
Hybrid: 0 vs 3 (King's Row)
Push: 70.65m vs 102.23m (Esperança)"
Lower Bracket Round 1,Far East Society (3) vs 321 Diving (0),"March 7, 2024 - 19:00 KST",speed75,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 2 vs 1 (King's Row)
Push: 131.02m vs 79.62m (Esperança)"
Lower Bracket Round 1,Teenage Rising (1) vs Honeypot (3),"March 7, 2024 - 20:30 KST",Adam,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 0 vs 1 (Blizzard World)
Push: 89.5m vs 75.44m (New Queen Street)
Flashpoint: 1 vs 3 (New Junk City)"
Lower Bracket Round 1,Far East Society (1) vs Honeypot (3),"March 7, 2024 - 22:00 KST",Nyang,"Control: 2 vs 0 (Samoa)
Hybrid: 1 vs 3 (King's Row)
Push: 82.11m vs 82.12m (Esperança)
Flashpoint: 1 vs 3 (New Junk City)"
Lower Bracket Round 1,DAF (3) vs Honeypot (0),"March 14, 2024 - 22:00 KST",CLEAR,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 2 (King's Row)
Push: 82.1m vs 81.09m (New Queen Street)"
Lower Bracket Round 1,Personate Gang (0) vs Fade (3),"March 14, 2024 - 19:00 KST",ShakeIt,"Control: 0 vs 2 (Ilios)
Hybrid: 0 vs 3 (Blizzard World)
Push: 3.61m vs 128.09m (New Queen Street)"
Lower Bracket Round 1,RTFM (3) vs Fade (0),"March 21, 2024 - 19:00 KST",RULER,"Control: 2 vs 0 (Samoa)
Hybrid: 1 vs 0 (Midtown)
Push: 142.41m vs 29.53m (Esperança)"
Lower Bracket Round 1,321 Diving (3) vs Teenage Rising (1),"March 14, 2024 - 20:30 KST",SeungAn,"Control: 1 vs 2 (Samoa)
Hybrid: 4 vs 3 (King's Row)
Push: 100.22m vs 64.3m (Colosseo)
Flashpoint: 3 vs 1 (New Junk City)"
Lower Bracket Round 1,Far East Society (2) vs 321 Diving (3),"March 21, 2024 - 20:00 KST",PetalS,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 2 (King's Row)
Push: 53.55m vs 129.3m (Esperança)
Flashpoint: 0 vs 3 (Suravasa)
Escort: 1 vs 2 (Circuit Royal)"
Lower Bracket Round 1,RTFM (2) vs 321 Diving (3),"March 21, 2024 - 22:00 KST",PetalS,"Control: 1 vs 2 (Samoa)
Hybrid: 3 vs 2 (Midtown)
Push: 80.84m vs 80.83m (Esperança)
Flashpoint: 0 vs 3 (Suravasa)
Escort: 2 vs 3 (Rialto)"
Lower Bracket Round 1,Honeypot (3) vs 321 Diving (0),"March 28, 2024 - 19:00 KST",sgy,"Control: 2 vs 0 (Samoa)
Hybrid: 2 vs 1 (Midtown)
Push: 142.41m vs 50.25m (Esperança)"
Lower Bracket Round 1,DAF (1) vs Honeypot (4),"March 28, 2024 - 20:30 KST",sgy,"Control: 1 vs 2 (Samoa)
Hybrid: 2 vs 3 (King's Row)
Push: 95.29m vs 66.42m (Colosseo)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 0 vs 1 (Rialto)"
