Stage,Match,Date,MVP,Map Result
Lower Bracket Round 1,Spacestation (3) vs NRG Shock (0),"June 1, 2024 - 05:45 KST",없음,"Control: 2 vs 0 (Antarctic Peninsula)
Hybrid: 3 vs 0 (Midtown)
Escort: 3 vs 1 (Watchpoint: Gibraltar)"
Lower Bracket Round 1,Team Falcons (3) vs ENCE (0),"June 1, 2024 - 05:45 KST",Proper,"Control: 2 vs 0 (Antarctic Peninsula)
Escort: 3 vs 2 (Circuit Royal)
Hybrid: 3 vs 3 (Numbani)
Flashpoint: 3 vs 1 (Suravasa)"
Lower Bracket Round 1,Spacestation (0) vs Team Falcons (3),"June 2, 2024 - 03:00 KST",Proper,"Control: 1 vs 2 (Ilios)
Escort: 4 vs 5 (Circuit Royal)
Flashpoint: 1 vs 3 (New Junk City)"
Lower Bracket Round 1,Crazy Raccoon (3) vs M80 (0),"June 1, 2024 - 08:00 KST",LIP,"Control: 2 vs 0 (Antarctic Peninsula)
Escort: 1 vs 0 (Havana)
Hybrid: 2 vs 1 (King's Row)"
Lower Bracket Round 1,Toronto Defiant (3) vs Twisted Minds (0),"June 1, 2024 - 07:30 KST",LIP,"Control: 2 vs 0 (Antarctic Peninsula)
Push: 142.41m vs 48.19m (Esperança)
Flashpoint: 3 vs 2 (Suravasa)"
Lower Bracket Round 1,Crazy Raccoon (3) vs Toronto Defiant (0),"June 2, 2024 - 05:00 KST",Junbin,"Control: 2 vs 0 (Ilios)
Escort: 2 vs 1 (Circuit Royal)
Hybrid: 3 vs 1 (Hollywood)"
Lower Bracket Round 1,Team Falcons (3) vs Crazy Raccoon (2),"June 3, 2024 - 03:00 KST",Proper,"Control: 2 vs 0 (Oasis)
Flashpoint: 0 vs 3 (Suravasa)
Hybrid: 2 vs 3 (Midtown)
Push: 65.6m vs 57.55m (New Queen Street)
Escort: 2 vs 1 (Route 66)"
Lower Bracket Round 1,NRG Shock (1) vs ENCE (3),"June 1, 2024 - 09:30 KST",Kai,"Control: 1 vs 2 (Busan)
Hybrid: 1 vs 3 (Midtown)
Escort: 2 vs 1 (Watchpoint: Gibraltar)
Flashpoint: 0 vs 3 (Suravasa)"
Lower Bracket Round 1,Toronto Defiant (1) vs ENCE (3),"June 2, 2024 - 09:00 KST",kevster,"Control: 1 vs 2 (Busan)
Escort: 1 vs 0 (Watchpoint: Gibraltar)
Hybrid: 2 vs 3 (Midtown)
Push: 64.08m vs 75.29m (Colosseo)"
Lower Bracket Round 1,M80 (3) vs Twisted Minds (0),"June 1, 2024 - 12:00 KST",Pelican,"Control: 2 vs 0 (Busan)
Push: 142.41m vs 2.64m (Esperança)
Hybrid: 1 vs 0 (King's Row)"
Lower Bracket Round 1,Spacestation (3) vs M80 (2),"June 2, 2024 - 07:00 KST",Hadi,"Control: 0 vs 2 (Busan)
Hybrid: 2 vs 1 (Midtown)
Escort: 1 vs 0 (Havana)
Flashpoint: 2 vs 3 (New Junk City)
Push: 128.09m vs 32.03m (New Queen Street)"
Lower Bracket Round 1,ENCE (1) vs Spacestation (3),"June 3, 2024 - 01:00 KST",Seicoe,"Control: 1 vs 2 (Oasis)
Escort: 2 vs 3 (Havana)
Hybrid: 1 vs 0 (Midtown)
Push: 66.07m vs 87.79m (New Queen Street)"
Lower Bracket Round 1,Crazy Raccoon (3) vs Spacestation (0),"June 3, 2024 - 05:00 KST",HeeSang,"Control: 2 vs 0 (Ilios)
Escort: 1 vs 0 (Havana)
Hybrid: 2 vs 1 (King's Row)"
Lower Bracket Round 1,Team Falcons (2) vs Crazy Raccoon (4),"June 3, 2024 - 06:20 KST",Junbin,"Control: 1 vs 2 (Oasis)
Flashpoint: 3 vs 1 (New Junk City)
Escort: 0 vs 2 (Watchpoint: Gibraltar)
Push: 50.99m vs 118.46m (New Queen Street)
Hybrid: 3 vs 1 (King's Row)
Control: 1 vs 2 (Ilios)"
