Stage,Match,Date,MVP,Map Result
Group,SMFL (SMFL) vs FMCL (0),"May 1, 2024 - 11:00 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 1 vs 2 (Midtown)
: ? vs ? (Route 66)"
Group,AVD (AVD) vs TSM (0),"May 2, 2024 - 08:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 1 vs 3 (Paraíso)"
Group,DL (DL) vs PiP (2),"May 1, 2024 - 09:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 2 vs 1 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
Group,TOR (TOR) vs GFN (2),"May 1, 2024 - 09:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 2 vs 1 (Eichenwalde)
: ? vs ? (Route 66)"
Group,CN (CN) vs VAL (2),"May 1, 2024 - 09:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 1 (Midtown)
: ? vs ? (Shambali Monastery)"
Group,GN (GN) vs LG (0),"May 1, 2024 - 09:00 KST",없음,"Control: 1 vs 2 (Nepal)
Hybrid: 1 vs 2 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
Group,M80 (M80) vs SOG (2),"May 1, 2024 - 09:00 KST",없음,"Control: 2 vs 0 (Oasis)
Hybrid: 1 vs 0 (Midtown)
: ? vs ? (Junkertown)"
Group,UNC (UNC) vs SHI (0),"May 1, 2024 - 09:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 4 vs 5 (Hollywood)
: ? vs ? (Route 66)"
Group,VAL (VAL) vs TOR (0),"May 1, 2024 - 10:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 1 vs 2 (Hollywood)
: ? vs ? (Junkertown)"
Group,PiP (PiP) vs AVD (2),"May 3, 2024 - 09:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 4 vs 3 (Eichenwalde)
Escort: 2 vs 1 (Shambali Monastery)"
Group,GFN (GFN) vs DL (2),"May 2, 2024 - 08:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 0 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
Group,LG (LG) vs CN (0),"May 9, 2024 - 09:45 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 0 vs 2 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
Group,SOG (SOG) vs GN (2),"May 3, 2024 - 09:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 2 vs 1 (Hollywood)
: ? vs ? (Junkertown)"
Group,SHI (SHI) vs M80 (1),"May 3, 2024 - 09:00 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 0 vs 3 (Eichenwalde)
Escort: 1 vs 2 (Route 66)"
Group,UNC (UNC) vs FMCL (0),"April 30, 2024 - 11:00 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 1 vs 2 (Midtown)
: ? vs ? (Shambali Monastery)"
Group,SMFL (SMFL) vs PiP (0),"May 11, 2024 - 08:00 KST",없음,"Control: 0 vs 2 (Samoa)
: 3 vs 3 (Eichenwalde)
Escort: 3 vs 4 (Shambali Monastery)"
Group,AVD (AVD) vs GFN (0),"May 8, 2024 - 09:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 1 vs 3 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
Group,DL (DL) vs VAL (2),"May 9, 2024 - 10:30 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 3 vs 1 (Hollywood)
Escort: 3 vs 0 (Shambali Monastery)"
Group,TOR (TOR) vs LG (2),"May 10, 2024 - 10:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 2 vs 1 (Midtown)
: ? vs ? (Route 66)"
Group,GN (GN) vs M80 (1),"May 12, 2024 - 08:00 KST",없음,"Control: 0 vs 2 (Oasis)
Hybrid: 2 vs 1 (Midtown)
Escort: 0 vs 3 (Rialto)"
Group,TSM (TSM) vs UNC (2),"May 8, 2024 - 09:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 1 (Eichenwalde)
: ? vs ? (Rialto)"
Group,FMCL (FMCL) vs SHI (2),"May 8, 2024 - 09:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 2 (Eichenwalde)
: ? vs ? (Route 66)"
Group,VAL (VAL) vs AVD (2),"May 10, 2024 - 09:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 2 vs 0 (Paraíso)
: ? vs ? (Junkertown)"
Group,LG (LG) vs DL (2),"May 10, 2024 - 09:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 2 vs 1 (Eichenwalde)
: ? vs ? (Shambali Monastery)"
