Stage,Match,Date,MVP,Map Result
Lower Bracket Round 1,Ex Oblivione (0) vs Wash. Hospice (3),"September 14, 2024 - 01:00 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 2 (Eichenwalde)
Push: 97.06m vs 142.14m (Runasapi)
: ? vs ? (New Junk City)
: ? vs ? (Circuit Royal)"
Lower Bracket Round 1,ENCE (3) vs Wash. Hospice (2),"September 14, 2024 - 03:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 4 (King's Row)
Push: 108.55m vs 81.93m (Runasapi)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 3 vs 1 (Junkertown)"
Lower Bracket Round 1,Spacestation (3) vs nu.age (0),"September 14, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 0 (Blizzard World)
Push: ? vs ? (Runasapi)
: ? vs ? (New Junk City)
: ? vs ? (Shambali Monastery)"
Lower Bracket Round 1,Virtus.pro (3) vs A One Man Army (2),"September 14, 2024 - 01:30 KST",없음,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 2 vs 3 (Eichenwalde)
Push: 113.04m vs 125.95m (Runasapi)
Flashpoint: 3 vs 2 (New Junk City)
Escort: 4 vs 3 (Shambali Monastery)"
Lower Bracket Round 1,Spacestation (3) vs Virtus.pro (2),"September 14, 2024 - 05:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
: 3 vs 3 (King's Row)
Push: 68.35m vs 97.45m (New Queen Street)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 0 vs 3 (Junkertown)
Control: 2 vs 1 (Nepal)"
Lower Bracket Round 1,ENCE (3) vs Spacestation (2),"September 15, 2024 - 02:30 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 1 vs 2 (King's Row)
Push: 55.53m vs 141.99m (Runasapi)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 1 vs 0 (Junkertown)"
Lower Bracket Round 1,Virtus.pro (3) vs Ex Oblivione (0),"September 15, 2024 - 01:10 KST",없음,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 3 vs 2 (Eichenwalde)
Push: 128.97m vs 56.75m (Runasapi)
: ? vs ? (New Junk City)
: ? vs ? (Shambali Monastery)"
Lower Bracket Round 1,nu.age (1) vs A One Man Army (3),"September 14, 2024 - 03:50 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 2 vs 3 (King's Row)
Push: 123.65m vs 114.51m (Runasapi)
Flashpoint: 1 vs 3 (New Junk City)
: ? vs ? (Junkertown)"
Lower Bracket Round 1,Virtus.pro (3) vs A One Man Army (0),"September 15, 2024 - 04:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (Eichenwalde)
Push: 142.39m vs 55.53m (Runasapi)
: ? vs ? (Suravasa)
: ? vs ? (Junkertown)"
Lower Bracket Round 1,Spacestation (3) vs Virtus.pro (1),"September 16, 2024 - 01:00 KST",없음,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: 0m vs 144.86m (Runasapi)
Flashpoint: 3 vs 0 (Suravasa)
: ? vs ? (Circuit Royal)"
Lower Bracket Round 1,ENCE (1) vs Spacestation (4),"September 16, 2024 - 02:50 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 4 vs 5 (King's Row)
Push: 57.75m vs 97.72m (Colosseo)
Flashpoint: 0 vs 3 (New Junk City)
: ? vs ? (Dorado)
: ? vs ? (Nepal)"
Group,HYP (HYP) vs ExO (0),"July 20, 2024 - 03:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 4 vs 5 (Eichenwalde)
Push: 39m vs 122.53m (Runasapi)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Group,VP (VP) vs EFE (3),"August 8, 2024 - 03:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 1 vs 0 (Blizzard World)
Push: ? vs ? (Runasapi)
: ? vs ? (Suravasa)
: ? vs ? (Circuit Royal)"
Group,SSG (SSG) vs ENCE (0),"August 27, 2024 - 03:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 2 vs 3 (King's Row)
Push: 27.1m vs 139.62m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Junkertown)"
Group,DEIM (DEIM) vs AOMA (3),"July 16, 2024 - 18:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (Paraiso)
Push: ? vs ? (Runasapi)
: ? vs ? (Suravasa)
: ? vs ? (Dorado)"
Group,GG (GG) vs G4MB (3),"August 22, 2024 - 03:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: ? vs ? (Runasapi)
: ? vs ? (Suravasa)
: ? vs ? (Circuit Royal)"
Group,SPY (SPY) vs NUA (2),"July 17, 2024 - 04:30 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 1 vs 2 (Paraiso)
Push: ? vs ? (Colosseo)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 0 vs 1 (Shambali Monastery)"
Group,EFE (EFE) vs HYP (1),"July 19, 2024 - 03:00 KST",없음,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 1 vs 2 (Eichenwalde)
Push: ? vs ? (Runasapi)
Flashpoint: 1 vs 3 (Suravasa)
: ? vs ? (Junkertown)"
Group,ENCE (ENCE) vs VP (3),"August 29, 2024 - 01:00 KST",없음,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 2 vs 3 (King's Row)
Push: 109.95m vs 92.9m (Runasapi)
Flashpoint: 3 vs 0 (Suravasa)
: ? vs ? (Junkertown)"
Group,AOMA (AOMA) vs SSG (0),"August 29, 2024 - 03:30 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 0 vs 1 (Paraiso)
Push: ? vs ? (Runasapi)
: ? vs ? (New Junk City)
: ? vs ? (Dorado)"
Group,G4MB (G4MB) vs DEIM (3),"July 19, 2024 - 03:00 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 1 vs 2 (Eichenwalde)
Push: ? vs ? (Runasapi)
Flashpoint: 3 vs 1 (New Junk City)
Escort: 2 vs 1 (Shambali Monastery)"
Group,NUA (NUA) vs GG (0),"August 20, 2024 - 01:00 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 1 vs 2 (King's Row)
Push: ? vs ? (New Queen Street)
: ? vs ? (Suravasa)
: ? vs ? (Junkertown)"
Group,AS.0907 (AS.0907) vs ExO (0),"July 19, 2024 - 03:00 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 0 vs 1 (Eichenwalde)
Push: ? vs ? (New Queen Street)
: ? vs ? (New Junk City)
: ? vs ? (Shambali Monastery)"
Group,HYP (HYP) vs ENCE (0),"August 22, 2024 - 01:00 KST",없음,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 0 vs 1 (King's Row)
Push: 0m vs 140m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Group,VP (VP) vs AOMA (3),"August 27, 2024 - 03:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 2 vs 3 (Eichenwalde)
Push: ? vs ? (Colosseo)
Flashpoint: 3 vs 2 (New Junk City)
: ? vs ? (Junkertown)"
Group,SSG (SSG) vs G4MB (3),"August 24, 2024 - 03:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (Blizzard World)
Push: ? vs ? (Colosseo)
Flashpoint: 3 vs 0 (Suravasa)
: ? vs ? (Circuit Royal)"
Group,SWC (SWC) vs NUA (0),"August 5, 2024 - 03:00 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 2 (Blizzard World)
Push: ? vs ? (New Queen Street)
: ? vs ? (New Junk City)
: ? vs ? (Shambali Monastery)"
Group,GG (GG) vs SPY (3),"August 15, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (Eichenwalde)
Push: ? vs ? (Runasapi)
: ? vs ? (New Junk City)
: ? vs ? (Shambali Monastery)"
Group,EFE (EFE) vs AS.0907 (0),"July 24, 2024 - 03:00 KST",없음,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 0 vs 1 (Blizzard World)
Push: ? vs ? (Colosseo)
: ? vs ? (New Junk City)
: ? vs ? (Junkertown)"
Group,AOMA (AOMA) vs HYP (0),"July 26, 2024 - 03:00 KST",없음,"Control: 0 vs 2 (Samoa)
Hybrid: 1 vs 2 (Eichenwalde)
Push: ? vs ? (Runasapi)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Group,G4MB (G4MB) vs VP (1),"August 15, 2024 - 03:00 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 2 (King's Row)
Push: ? vs ? (Runasapi)
Flashpoint: 2 vs 3 (Suravasa)
: ? vs ? (Shambali Monastery)"
Group,NUA (NUA) vs SSG (0),"August 28, 2024 - 04:00 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 0 vs 1 (Paraiso)
Push: ? vs ? (Runasapi)
: ? vs ? (Suravasa)
: ? vs ? (Dorado)"
