Stage,Match,Date,MVP,Map Result
Lower Bracket Round 1,Timeless (3) vs Shikigami (0),"September 14, 2024 - 06:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 1 vs 0 (King's Row)
Push: ? vs ? (Runasapi)
: ? vs ? (New Junk City)
: ? vs ? (Junkertown)"
Lower Bracket Round 1,Citrus Nation (3) vs Team Z (2),"September 14, 2024 - 07:30 KST",없음,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 1 vs 3 (Eichenwalde)
Push: ? vs ? (Runasapi)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 3 vs 2 (Circuit Royal)"
Lower Bracket Round 1,Timeless (3) vs Citrus Nation (0),"September 14, 2024 - 10:45 KST",없음,"Control: 2 vs 1 (Busan)
Hybrid: 4 vs 3 (Blizzard World)
Push: 83.2m vs 52.8m (New Queen Street)
: ? vs ? (New Junk City)
: ? vs ? (Circuit Royal)"
Lower Bracket Round 1,TSM (3) vs Vice (0),"September 14, 2024 - 07:15 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 1 (Blizzard World)
Push: ? vs ? (Colosseo)
: ? vs ? (New Junk City)
: ? vs ? (Shambali Monastery)"
Lower Bracket Round 1,FLUFFY AIMERS (3) vs Green Fortnite (0),"September 14, 2024 - 08:30 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 3 vs 2 (Paraiso)
Push: 105.16m vs 72.32m (Runasapi)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Lower Bracket Round 1,TSM (3) vs FLUFFY AIMERS (1),"September 14, 2024 - 09:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 2 vs 3 (King's Row)
Push: ? vs ? (Runasapi)
Flashpoint: 3 vs 1 (New Junk City)
: ? vs ? (Shambali Monastery)"
Lower Bracket Round 1,Timeless (1) vs TSM (3),"September 15, 2024 - 07:00 KST",없음,"Control: 2 vs 1 (Samoa)
Hybrid: 2 vs 3 (King's Row)
Push: 91.39m vs 107.24m (Runasapi)
Flashpoint: 2 vs 3 (New Junk City)
: ? vs ? (Junkertown)"
Lower Bracket Round 1,Shikigami (1) vs Team Z (3),"September 14, 2024 - 08:45 KST",없음,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 1 vs 3 (King's Row)
Push: 32.14m vs 144.86m (Runasapi)
Flashpoint: 2 vs 3 (New Junk City)
: ? vs ? (Circuit Royal)"
Lower Bracket Round 1,FLUFFY AIMERS (3) vs Team Z (2),"September 15, 2024 - 05:10 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: 58.53m vs 80.85m (New Queen Street)
Flashpoint: 1 vs 3 (Suravasa)
Escort: 3 vs 2 (Circuit Royal)"
Lower Bracket Round 1,Vice (3) vs Green Fortnite (2),"September 14, 2024 - 08:45 KST",없음,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 1 vs 0 (Blizzard World)
Push: ? vs ? (Colosseo)
Flashpoint: 3 vs 0 (New Junk City)
Escort: 3 vs 2 (Junkertown)"
Lower Bracket Round 1,Citrus Nation (3) vs Vice (1),"September 15, 2024 - 06:00 KST",없음,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 3 vs 1 (King's Row)
Push: 132.47m vs 63.41m (Runasapi)
Flashpoint: 3 vs 1 (New Junk City)
: ? vs ? (Circuit Royal)"
Lower Bracket Round 1,FLUFFY AIMERS (3) vs Citrus Nation (2),"September 15, 2024 - 08:30 KST",없음,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 5 vs 4 (King's Row)
Push: 123.7m vs 50.29m (Runasapi)
Flashpoint: 0 vs 3 (New Junk City)
Escort: 1 vs 0 (Shambali Monastery)"
Lower Bracket Round 1,Timeless (3) vs FLUFFY AIMERS (1),"September 16, 2024 - 04:25 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 4 vs 5 (King's Row)
Push: 80.17m vs 58.03m (New Queen Street)
Flashpoint: 3 vs 0 (Suravasa)
: ? vs ? (Junkertown)"
Lower Bracket Round 1,TSM (3) vs Timeless (4),"September 16, 2024 - 06:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 2 (Eichenwalde)
Push: 63.37m vs 129.18m (Runasapi)
Flashpoint: 1 vs 3 (New Junk City)
Escort: 2 vs 3 (Junkertown)
Control: 1 vs 2 (Samoa)"
