Stage,Match,Date,MVP,Map Result
Lower Bracket Round 1,Team Falcons (3) vs DAF (0),"April 25, 2024 - 15:00 KST",smurf,"Control: 2 vs 0 (Nepal)
Push: 142.41m vs 51.26m (Esperança)
Hybrid: 3 vs 0 (Hollywood)"
Lower Bracket Round 1,VARREL (0) vs YETI (3),"April 25, 2024 - 17:00 KST",D0NGHAK,"Control: 0 vs 2 (Nepal)
Hybrid: 1 vs 3 (Midtown)
Push: 40.87m vs 97.65m (Esperança)"
Lower Bracket Round 1,Team Falcons (3) vs YETI (0),"April 26, 2024 - 15:00 KST",Fielder,"Control: 2 vs 0 (Ilios)
Hybrid: 3 vs 1 (Eichenwalde)
Flashpoint: 3 vs 0 (Suravasa)"
Lower Bracket Round 1,From The Gamer (3) vs Honeypot (0),"April 25, 2024 - 18:30 KST",Flora,"Control: 2 vs 0 (Oasis)
Flashpoint: 3 vs 1 (Suravasa)
Push: 125.99m vs 37.03m (Colosseo)"
Lower Bracket Round 1,INSOMNIA (0) vs Crazy Raccoon (3),"April 25, 2024 - 20:00 KST",Junbin,"Control: 0 vs 2 (Busan)
Flashpoint: 0 vs 3 (New Junk City)
Push: 9.58m vs 141.42m (Esperança)"
Lower Bracket Round 1,From The Gamer (1) vs Crazy Raccoon (3),"April 26, 2024 - 16:30 KST",Junbin,"Control: 0 vs 2 (Ilios)
Push: 74.11m vs 73.08m (Colosseo)
Flashpoint: 2 vs 3 (Suravasa)
Escort: 3 vs 4 (Shambali Monastery)"
Lower Bracket Round 1,Team Falcons (0) vs Crazy Raccoon (3),"April 27, 2024 - 18:40 KST",HeeSang,"Control: 1 vs 2 (Ilios)
Hybrid: 0 vs 3 (Eichenwalde)
Push: 40.04m vs 66.63m (Colosseo)"
Lower Bracket Round 1,DAF (3) vs VARREL (0),"April 26, 2024 - 18:30 KST",CLEAR,"Control: 2 vs 0 (Oasis)
Push: 97.08m vs 91.26m (Esperança)
Escort: 1 vs 0 (Route 66)"
Lower Bracket Round 1,From The Gamer (3) vs DAF (2),"April 27, 2024 - 15:00 KST",BERNAR,"Control: 1 vs 2 (Ilios)
Push: 139.4m vs 34.08m (Colosseo)
Hybrid: 3 vs 0 (Midtown)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 3 vs 0 (Shambali Monastery)"
Lower Bracket Round 1,Honeypot (3) vs INSOMNIA (0),"April 26, 2024 - 20:00 KST",Nyang,"Control: 2 vs 0 (Samoa)
Flashpoint: 3 vs 2 (Suravasa)
Push: 109.6m vs 83.21m (Esperança)"
Lower Bracket Round 1,YETI (3) vs Honeypot (0),"April 27, 2024 - 16:30 KST",KNIFE,"Control: 2 vs 0 (Ilios)
Flashpoint: 3 vs 0 (New Junk City)
Push: 110.94m vs 56.14m (Colosseo)"
Lower Bracket Round 1,From The Gamer (3) vs YETI (0),"April 27, 2024 - 20:00 KST",Viol2t,"Control: 2 vs 1 (Nepal)
Flashpoint: 3 vs 2 (New Junk City)
Hybrid: 3 vs 2 (Eichenwalde)"
Lower Bracket Round 1,Team Falcons (3) vs From The Gamer (2),"April 28, 2024 - 15:00 KST",smurf,"Control: 2 vs 0 (Ilios)
Push: 60.3m vs 60.31m (Colosseo)
Hybrid: 2 vs 3 (Hollywood)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 1 vs 0 (Shambali Monastery)"
Lower Bracket Round 1,Crazy Raccoon (4) vs Team Falcons (1),"April 28, 2024 - 18:10 KST",Shu,"Control: 2 vs 0 (Nepal)
Escort: 0 vs 1 (Rialto)
Flashpoint: 3 vs 1 (Suravasa)
Hybrid: 3 vs 1 (Hollywood)
Push: 89.9m vs 42.37m (Esperança)"
