Stage,Match,Date,MVP,Map Result
Group,SSG (SSG) vs SMG (3),"April 13, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Oasis)
Hybrid: 3 vs 1 (Hollywood)
Push: 123.6m vs 111.56m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Route 66)"
Group,ExO (ExO) vs SPY (3),"April 13, 2024 - 02:30 KST",없음,"Control: 2 vs 0 (Oasis)
Hybrid: 1 vs 2 (Paraíso)
Push: 142.41m vs 0.15m (Esperança)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 2 vs 1 (Junkertown)"
Group,SSG (SSG) vs ExO (3),"April 14, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 2 (Midtown)
Push: 115.88m vs 30.15m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Shambali Monastery)"
Group,SMG (SMG) vs SPY (0),"April 15, 2024 - 02:30 KST",없음,"Control: 0 vs 2 (Busan)
Hybrid: 1 vs 3 (Hollywood)
Push: 81.37m vs 124.13m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Route 66)"
Group,ExO (ExO) vs SPY (2),"April 21, 2024 - 04:00 KST",없음,"Control: 0 vs 2 (Oasis)
Hybrid: 3 vs 0 (Hollywood)
Push: 59.82m vs 59.81m (Esperança)
Flashpoint: 2 vs 3 (Suravasa)
Escort: 0 vs 3 (Shambali Monastery)"
Group,ENCE (ENCE) vs SC (3),"April 13, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 1 (Midtown)
Push: 142m vs 50.48m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Group,PEPS (PEPS) vs AOMA (3),"April 13, 2024 - 02:30 KST",없음,"Control: 2 vs 0 (Oasis)
Hybrid: 3 vs 1 (Eichenwalde)
Push: 122.95m vs 45.23m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Group,ENCE (ENCE) vs PEPS (3),"April 14, 2024 - 02:30 KST",없음,"Control: 1 vs 2 (Nepal)
Hybrid: 3 vs 2 (Paraíso)
Push: 66.42m vs 87.55m (Colosseo)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 1 vs 0 (Shambali Monastery)"
Group,SC (SC) vs AOMA (1),"April 15, 2024 - 04:00 KST",없음,"Control: 0 vs 2 (Oasis)
Hybrid: 2 vs 3 (Midtown)
Push: 120.73m vs 69.32m (Esperança)
Flashpoint: 2 vs 3 (Suravasa)
: ? vs ? (Shambali Monastery)"
Group,PEPS (PEPS) vs AOMA (3),"April 22, 2024 - 01:00 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 3 vs 1 (Eichenwalde)
Push: 101.23m vs 38.52m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Group,TM (TM) vs ROCS (3),"April 13, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 1 (Midtown)
Push: 139.4m vs 38.82m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Group,DEIM (DEIM) vs FLEX (3),"April 13, 2024 - 02:30 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 1 vs 0 (Eichenwalde)
Push: 112.06m vs 17.57m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Group,TM (TM) vs DEIM (3),"April 14, 2024 - 04:00 KST",없음,"Control: 2 vs 1 (Busan)
Hybrid: 1 vs 0 (Midtown)
Push: 105.33m vs 54.35m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Group,ROCS (ROCS) vs FLEX (3),"April 21, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 1 (Eichenwalde)
Push: 63.23m vs 63.22m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Group,DEIM (DEIM) vs ROCS (3),"April 22, 2024 - 02:30 KST",없음,"Control: 1 vs 2 (Nepal)
Hybrid: 2 vs 3 (Eichenwalde)
Push: 69.98m vs 69.97m (Colosseo)
Flashpoint: 3 vs 2 (New Junk City)
Escort: 2 vs 1 (Shambali Monastery)"
Group,P&L (P&L) vs AY (3),"April 13, 2024 - 01:00 KST",없음,"Control: 2 vs 1 (Oasis)
Hybrid: 3 vs 2 (Eichenwalde)
Push: 142.41m vs 3.47m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Route 66)"
Group,ATA (ATA) vs MTB (3),"April 13, 2024 - 02:30 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 1 (Hollywood)
Push: 113.04m vs 53.55m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Group,P&L (P&L) vs ATA (3),"April 15, 2024 - 01:00 KST",없음,"Control: 0 vs 2 (Oasis)
Hybrid: 3 vs 2 (Paraíso)
Push: 25.88m vs 99.84m (Esperança)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 3 vs 2 (Rialto)"
Group,AY (AY) vs MTB (3),"April 21, 2024 - 02:30 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 1 vs 2 (Midtown)
Push: 102.86m vs 61.08m (Esperança)
Flashpoint: 3 vs 1 (New Junk City)
: ? vs ? (Shambali Monastery)"
Group,ATA (ATA) vs AY (1),"April 22, 2024 - 04:00 KST",없음,"Control: 2 vs 1 (Oasis)
Hybrid: 1 vs 3 (Hollywood)
Push: 106.26m vs 106.27m (Colosseo)
Flashpoint: 1 vs 3 (New Junk City)
: ? vs ? (Rialto)"
Lower Bracket Round 1,Spacestation (3) vs Team Peps (0),"April 26, 2024 - 01:00 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 3 vs 1 (Eichenwalde)
Push: 139.63m vs 31.26m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Lower Bracket Round 1,Peace and Love (3) vs Deimpero (0),"April 26, 2024 - 01:00 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 3 vs 1 (Eichenwalde)
Push: 116.64m vs 116.63m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Junkertown)"
Lower Bracket Round 1,Spacestation (3) vs Peace and Love (0),"April 27, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 0 (Eichenwalde)
Push: 142.41m vs 0m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Route 66)"
Lower Bracket Round 1,ENCE (3) vs Supershy (0),"April 26, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Oasis)
Hybrid: 3 vs 0 (Paraíso)
Push: 101.41m vs 75.43m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Rialto)"
Lower Bracket Round 1,Twisted Minds (3) vs AWW YEAH (0),"April 26, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Oasis)
Hybrid: 3 vs 1 (Eichenwalde)
Push: 126.83m vs 59.47m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Lower Bracket Round 1,ENCE (3) vs Twisted Minds (0),"April 27, 2024 - 02:15 KST",없음,"Control: 2 vs 0 (Busan)
Hybrid: 2 vs 1 (Midtown)
Push: 142.41m vs 0m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Lower Bracket Round 1,Spacestation (3) vs ENCE (1),"April 28, 2024 - 02:30 KST",없음,"Control: 1 vs 2 (Samoa)
Hybrid: 3 vs 2 (Paraíso)
Push: 130.66m vs 112.02m (Esperança)
Flashpoint: 3 vs 1 (Suravasa)
: ? vs ? (Route 66)"
Lower Bracket Round 1,Team Peps (3) vs Deimpero (1),"April 26, 2024 - 02:30 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 1 vs 2 (Hollywood)
Push: 107.46m vs 33.49m (Colosseo)
Flashpoint: 3 vs 0 (Suravasa)
: ? vs ? (Junkertown)"
Lower Bracket Round 1,Twisted Minds (1) vs Team Peps (3),"April 28, 2024 - 01:00 KST",없음,"Control: 2 vs 0 (Busan)
Hybrid: 2 vs 3 (Hollywood)
Push: 31.46m vs 112.37m (Esperança)
Flashpoint: 0 vs 3 (Suravasa)
: ? vs ? (Rialto)"
Lower Bracket Round 1,Supershy (3) vs AWW YEAH (0),"April 26, 2024 - 04:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 2 (Eichenwalde)
Push: 98.49m vs 98.48m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Route 66)"
Lower Bracket Round 1,Peace and Love (3) vs Supershy (1),"April 27, 2024 - 03:00 KST",없음,"Control: 2 vs 1 (Oasis)
Hybrid: 5 vs 4 (Eichenwalde)
Push: 96.17m vs 107.51m (Esperança)
Flashpoint: 3 vs 0 (Suravasa)
: ? vs ? (Rialto)"
