Stage,Match,Date,MVP,Map Result
Group,REV (REV) vs NG (3),"February 26, 2024 - 17:00 KST",Hofac,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 1 (King's Row)
Push: 139.48m vs 0m (Colosseo)"
Group,HYB (HYB) vs PA (0),"February 26, 2024 - 18:30 KST",ZeSin,"Control: 1 vs 2 (Samoa)
Hybrid: 2 vs 3 (Blizzard World)
Push: 37.33m vs 131.91m (Esperança)"
Group,NMB (NMB) vs VL (0),"February 26, 2024 - 20:00 KST",Qki,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 0 vs 1 (Blizzard World)
Push: 45.9m vs 129m (New Queen Street)"
Group,PA (PA) vs REV (3),"February 27, 2024 - 17:00 KST",ZeSin,"Control: 0 vs 2 (Samoa)
Hybrid: 2 vs 1 (Blizzard World)
Push: 48.89m vs 108.94m (Esperança)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 4 vs 3 (Circuit Royal)"
Group,VL (VL) vs HYB (3),"February 27, 2024 - 18:30 KST",Nico,"Control: 2 vs 0 (Samoa)
Hybrid: 1 vs 0 (Blizzard World)
Push: 142.41m vs 0m (Esperança)"
Group,6B (6B) vs NMB (3),"February 27, 2024 - 20:00 KST",pressure,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 1 vs 0 (Hollywood)
Push: 92.59m vs 84.64m (New Queen Street)"
Group,HYB (HYB) vs ARP (0),"February 28, 2024 - 17:00 KST",Hry,"Control: 1 vs 2 (Samoa)
Hybrid: 1 vs 3 (Blizzard World)
Push: 0m vs 139.48m (Colosseo)"
Group,INS (INS) vs PA (3),"February 28, 2024 - 18:30 KST",CARU,"Control: 2 vs 0 (Nepal)
Hybrid: 2 vs 3 (Blizzard World)
Push: 113.11m vs 53.55m (Esperança)
Flashpoint: 3 vs 1 (Suravasa)"
Group,NMB (NMB) vs NG (3),"February 28, 2024 - 20:00 KST",Nozl,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 2 vs 1 (Blizzard World)
Push: 125m vs 4.12m (New Queen Street)"
Group,VL (VL) vs INS (3),"March 4, 2024 - 18:00 KST",KSG,"Control: 2 vs 1 (Nepal)
Hybrid: 3 vs 0 (Midtown)
Push: 92.15m vs 124.21m (Esperança)
Flashpoint: 3 vs 2 (Suravasa)"
Group,NG (NG) vs HYB (1),"March 4, 2024 - 19:30 KST",Villea,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 2 vs 3 (Midtown)
Push: 62.56m vs 115.33m (Esperança)
Flashpoint: 0 vs 3 (New Junk City)"
Group,PA (PA) vs NMB (3),"March 4, 2024 - 21:00 KST",DOX,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 2 (Midtown)
Push: 139.48m vs 56.85m (Colosseo)"
Group,6B (6B) vs NG (3),"March 5, 2024 - 18:00 KST",pressure,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 1 (Midtown)
Push: 110.97m vs 99.33m (Esperança)"
Group,NMB (NMB) vs REV (0),"March 5, 2024 - 19:30 KST",Hofac,"Control: 0 vs 2 (Samoa)
Hybrid: 0 vs 1 (Blizzard World)
Push: 54.32m vs 128.09m (New Queen Street)"
Group,INS (INS) vs ARP (3),"March 5, 2024 - 21:00 KST",Undersea,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: 37.26m vs 94.46m (Colosseo)"
Group,PA (PA) vs 6B (0),"March 6, 2024 - 18:00 KST",pressure,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 0 vs 1 (King's Row)
Push: 63.08m vs 131.7m (Colosseo)"
Group,ARP (ARP) vs NMB (3),"March 6, 2024 - 19:30 KST",Hry,"Control: 2 vs 0 (Samoa)
Hybrid: 6 vs 4 (Blizzard World)
Push: 128.09m vs 40.62m (New Queen Street)"
Group,NG (NG) vs INS (0),"March 6, 2024 - 21:00 KST",Daisy,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 3 vs 4 (King's Row)
Push: 93.26m vs 105.16m (Esperança)"
Group,6B (6B) vs REV (3),"March 11, 2024 - 18:00 KST",TQQ,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 0 vs 1 (King's Row)
Push: 122.08m vs 69.09m (Colosseo)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 4 vs 3 (Circuit Royal)"
Group,VL (VL) vs ARP (3),"March 11, 2024 - 19:30 KST",KSG,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 0 (Midtown)
Push: 142.41m vs 17.49m (Esperança)"
Group,INS (INS) vs HYB (3),"March 11, 2024 - 21:00 KST",Daisy,"Control: 2 vs 0 (Nepal)
Hybrid: 2 vs 1 (Blizzard World)
Push: 142.41m vs 19.76m (Esperança)"
Group,NG (NG) vs VL (0),"March 12, 2024 - 18:00 KST",Qloud,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 3 (Midtown)
Push: 12.33m vs 142.41m (Esperança)"
Group,ARP (ARP) vs 6B (1),"March 12, 2024 - 19:30 KST",Doux,"Control: 2 vs 0 (Samoa)
Hybrid: 0 vs 3 (King's Row)
Push: 29.46m vs 139.4m (Colosseo)
Flashpoint: 1 vs 3 (New Junk City)"
Group,REV (REV) vs INS (3),"March 12, 2024 - 20:30 KST",Kotaro,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 1 vs 2 (Midtown)
Push: 67.96m vs 67.95m (Colosseo)
Flashpoint: 3 vs 1 (Suravasa)"
Group,ARP (ARP) vs PA (0),"March 13, 2024 - 18:00 KST",ZeSin,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 2 vs 3 (Blizzard World)
Push: 42.11m vs 113.74m (Esperança)"
Group,REV (REV) vs VL (0),"March 13, 2024 - 19:30 KST",Qki,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 3 (King's Row)
Push: 53.55m vs 142.41m (Esperança)"
Group,HYB (HYB) vs 6B (0),"March 13, 2024 - 20:40 KST",pressure,"Control: 0 vs 2 (Samoa)
Hybrid: 1 vs 3 (Midtown)
Push: 49.64m vs 135.09m (Esperança)"
Group,NG (NG) vs ARP (0),"March 18, 2024 - 18:00 KST",Hry,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 3 (Midtown)
Push: 18.64m vs 131.21m (Esperança)"
Group,INS (INS) vs 6B (3),"March 18, 2024 - 19:30 KST",Daisy,"Control: 2 vs 0 (Samoa)
Hybrid: 2 vs 3 (Midtown)
Push: 122m vs 104.46m (Esperança)
Flashpoint: 3 vs 1 (Suravasa)"
Group,HYB (HYB) vs NMB (0),"March 18, 2024 - 21:00 KST",Nozl,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 2 (Blizzard World)
Push: 91.07m vs 102.67m (Colosseo)"
Group,6B (6B) vs VL (0),"March 19, 2024 - 18:00 KST",Qki,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 2 vs 3 (King's Row)
Push: 45.12m vs 141.25m (Esperança)"
Group,ARP (ARP) vs REV (1),"March 19, 2024 - 19:30 KST",Hofac,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 2 vs 3 (Blizzard World)
Push: 112.3m vs 112.29m (Colosseo)
Flashpoint: 0 vs 3 (Suravasa)"
Group,PA (PA) vs NG (3),"March 19, 2024 - 21:00 KST",ZeSin,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 2 vs 1 (King's Row)
Push: 136.21m vs 49.02m (Esperança)"
Group,VL (VL) vs PA (3),"March 20, 2024 - 18:00 KST",ZeSin,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 1 (Midtown)
Push: 138.94m vs 12.7m (Esperança)"
Group,NMB (NMB) vs INS (1),"March 20, 2024 - 19:30 KST",ZeSin,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 3 vs 4 (King's Row)
Push: 139.4m vs 0m (Colosseo)
Flashpoint: 0 vs 3 (Suravasa)"
Group,REV (REV) vs HYB (3),"March 20, 2024 - 21:00 KST",ZeSin,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 1 (Blizzard World)
Push: 142.41m vs 83.07m (Esperança)"
