Stage,Match,Date,MVP,Map Result
Group,FLC (FLC) vs RA (3),"March 1, 2024 - 17:00 KST",Proper,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 4 vs 3 (King's Row)
Push: 127.6m vs 79.65m (Esperança)"
Group,SPG (SPG) vs PF (0),"March 1, 2024 - 18:30 KST",Proud,"Control: 1 vs 2 (Samoa)
Hybrid: 1 vs 2 (King's Row)
Push: 52.05m vs 142.41m (Esperança)"
Group,VEC (VEC) vs FTG (0),"March 1, 2024 - 20:00 KST",Flora,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 3 (King's Row)
Push: 33.74m vs 106.23m (Colosseo)"
Group,PF (PF) vs FLC (0),"March 2, 2024 - 17:00 KST",Stalk3r,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 0 vs 3 (Midtown)
Push: 62.32m vs 103.81m (Esperança)"
Group,FTG (FTG) vs SPG (3),"March 2, 2024 - 18:30 KST",BERNAR,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 2 (King's Row)
Push: 139.4m vs 35.42m (Colosseo)"
Group,WAC (WAC) vs GNS (3),"March 2, 2024 - 20:00 KST",HeeSang,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 1 (King's Row)
Push: 142.41m vs 7.42m (Esperança)"
Group,YETI (YETI) vs PF (3),"March 3, 2024 - 17:00 KST",D0NGHAK,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: 101.33m vs 67.79m (Colosseo)"
Group,VEC (VEC) vs RA (0),"March 3, 2024 - 18:30 KST",ZEST,"Control: 0 vs 2 (Samoa)
Hybrid: 0 vs 3 (Hollywood)
Push: 65.08m vs 68.2m (Colosseo)"
Group,SPG (SPG) vs WAC (0),"March 3, 2024 - 20:00 KST",HeeSang,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 0 vs 3 (King's Row)
Push: 45.6m vs 87.51m (Colosseo)"
Group,FTG (FTG) vs YETI (3),"March 8, 2024 - 17:00 KST",Flora,"Control: 2 vs 0 (Nepal)
Hybrid: 2 vs 3 (King's Row)
Push: 120.84m vs 46.94m (Esperança)
Flashpoint: 3 vs 0 (New Junk City)"
Group,PF (PF) vs VEC (3),"March 8, 2024 - 18:30 KST",Proud,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 3 vs 1 (King's Row)
Push: 134.38m vs 71.99m (Esperança)"
Group,RA (RA) vs SPG (3),"March 8, 2024 - 20:00 KST",Prophet,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 1 vs 0 (Midtown)
Push: 109.28m vs 42.25m (Colosseo)
Flashpoint: 3 vs 0 (Suravasa)"
Group,VEC (VEC) vs FLC (0),"March 9, 2024 - 17:00 KST",Proper,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 2 vs 3 (Midtown)
Push: 18.51m vs 142.41m (Esperança)"
Group,YETI (YETI) vs WAC (0),"March 9, 2024 - 18:30 KST",HeeSang,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 2 vs 3 (King's Row)
Push: 0m vs 142.41m (Esperança)"
Group,GNS (GNS) vs RA (2),"March 9, 2024 - 20:00 KST",Prophet,"Control: 0 vs 2 (Nepal)
Hybrid: 3 vs 2 (King's Row)
Push: 105.88m vs 101.41m (Esperança)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 0 vs 3 (Circuit Royal)"
Group,WAC (WAC) vs VEC (3),"March 10, 2024 - 17:00 KST",LIP,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: 121.31m vs 69.31m (Esperança)"
Group,RA (RA) vs YETI (3),"March 10, 2024 - 18:30 KST",Mag,"Control: 2 vs 1 (Samoa)
Hybrid: 3 vs 2 (Midtown)
Push: 59.15m vs 34.39m (Colosseo)"
Group,PF (PF) vs GNS (3),"March 10, 2024 - 20:00 KST",PEPPI,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 3 vs 2 (Midtown)
Push: 76.23m vs 68.66m (Esperança)
Flashpoint: 3 vs 0 (Suravasa)"
Group,YETI (YETI) vs SPG (3),"March 15, 2024 - 17:00 KST",KNIFE,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 1 vs 0 (Midtown)
Push: 94.68m vs 79.71m (Esperança)"
Group,GNS (GNS) vs FLC (0),"March 15, 2024 - 18:30 KST",Proper,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 0 vs 3 (King's Row)
Push: 29.09m vs 142.41m (Esperança)"
Group,FTG (FTG) vs WAC (1),"March 15, 2024 - 20:00 KST",HeeSang,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 2 vs 1 (King's Row)
Push: 72.14m vs 86.92m (Esperança)
Flashpoint: 1 vs 3 (New Junk City)"
Group,FLC (FLC) vs YETI (3),"March 16, 2024 - 17:00 KST",Fielder,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 3 vs 1 (Hollywood)
Push: 66.42m vs 62.43m (Colosseo)"
Group,GNS (GNS) vs VEC (3),"March 16, 2024 - 18:30 KST",Decay,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 2 vs 1 (King's Row)
Push: 112.33m vs 34.97m (Esperança)"
Group,RA (RA) vs FTG (0),"March 16, 2024 - 20:00 KST",AlphaYi,"Control: 0 vs 2 (Nepal)
Hybrid: 1 vs 2 (Blizzard World)
Push: 61.26m vs 114.06m (Colosseo)"
