Stage,Match,Date,MVP,Map Result
Unknown Group,TOR (TOR) vs FG (3),"March 9, 2024 - 06:00 KST",없음,"Control: 2 vs 0 (Ilios)
Hybrid: 1 vs 0 (Hollywood)
Push: 139.4m vs 0m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Dorado)"
Unknown Group,DBK (DBK) vs SHK.H (0),"March 9, 2024 - 07:30 KST",없음,"Control: 1 vs 2 (Nepal)
Hybrid: 1 vs 2 (Hollywood)
Push: 32.42m vs 105.72m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Dorado)"
Unknown Group,TOR (TOR) vs SHK.H (3),"March 10, 2024 - 06:30 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 1 vs 0 (Hollywood)
Push: 131.95m vs 42.82m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Dorado)"
Unknown Group,FG (FG) vs DBK (0),"March 11, 2024 - 06:30 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 0 vs 3 (King's Row)
Push: 64.75m vs 139.4m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Unknown Group,SHK.H (SHK.H) vs DBK (3),"March 17, 2024 - 07:40 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 2 vs 1 (King's Row)
Push: 105.26m vs 52.95m (Colosseo)
: ? vs ? (New Junk City)
: ? vs ? (Dorado)"
Unknown Group,LFO (LFO) vs CN (2),"March 9, 2024 - 06:00 KST",없음,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 3 vs 2 (Midtown)
Push: 108.44m vs 108.45m (Esperança)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 2 vs 3 (Circuit Royal)"
Unknown Group,LG (LG) vs BBPG (3),"March 9, 2024 - 07:30 KST",없음,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 1 vs 0 (Midtown)
Push: 142.41m vs 2.59m (Esperança)"
Unknown Group,CN (CN) vs LG (0),"March 10, 2024 - 07:35 KST",없음,"Control: 1 vs 2 (Samoa)
Hybrid: 1 vs 2 (Midtown)
Push: 48.13m vs 90.84m (Colosseo)"
Unknown Group,LFO (LFO) vs BBPG (3),"March 11, 2024 - 07:25 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 2 vs 1 (King's Row)
Push: 71.76m vs 62.58m (Esperança)"
Unknown Group,CN (CN) vs LFO (0),"March 18, 2024 - 05:30 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 0 vs 1 (Hollywood)
Push: 44.57m vs 140.02m (Esperança)"
Unknown Group,TML (TML) vs TML.O (3),"March 9, 2024 - 06:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 1 (King's Row)
Push: 129.55m vs 52.88m (Colosseo)"
Unknown Group,M80 (M80) vs NIW (3),"March 9, 2024 - 07:30 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: 139.4m vs 35.22m (Colosseo)"
Unknown Group,TML (TML) vs M80 (3),"March 10, 2024 - 08:55 KST",없음,"Control: 2 vs 1 (Samoa)
Hybrid: 1 vs 2 (King's Row)
Push: 59.78m vs 66.42m (Colosseo)
Flashpoint: 3 vs 0 (New Junk City)
Escort: 1 vs 0 (Shambali Monastery)"
Unknown Group,TML.O (TML.O) vs NIW (3),"March 17, 2024 - 06:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: 123.39m vs 72.06m (Colosseo)"
Unknown Group,M80 (M80) vs TML.O (3),"March 18, 2024 - 06:40 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 2 (King's Row)
Push: 142.41m vs 0m (Esperança)"
Unknown Group,BP (BP) vs DL (1),"March 9, 2024 - 06:00 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: 56.14m vs 89.52m (New Queen Street)
Flashpoint: 0 vs 3 (Suravasa)"
Unknown Group,SOG (SOG) vs PiP (3),"March 9, 2024 - 07:30 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 2 (Midtown)
Push: 84.22m vs 67.16m (Esperança)"
Unknown Group,DL (DL) vs SOG (0),"March 11, 2024 - 05:10 KST",없음,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 4 vs 6 (Blizzard World)
Push: 68.11m vs 106.22m (Esperança)"
Unknown Group,BP (BP) vs PiP (1),"March 17, 2024 - 06:30 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 2 (King's Row)
Push: 101.46m vs 96.68m (New Queen Street)
Flashpoint: 1 vs 3 (Suravasa)"
Unknown Group,DL (DL) vs PiP (0),"March 18, 2024 - 07:50 KST",없음,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 0 vs 1 (King's Row)
Push: 54.38m vs 82.42m (New Queen Street)"
Lower Bracket Round 1,Toronto Defiant (3) vs LFO (1),"March 22, 2024 - 06:00 KST",없음,"Control: 2 vs 0 (Ilios)
Hybrid: 2 vs 1 (Hollywood)
Push: 47.23m vs 92.14m (Esperança)
Flashpoint: 3 vs 2 (New Junk City)"
Lower Bracket Round 1,Timeless (3) vs Pirates in Pyjamas (2),"March 22, 2024 - 06:00 KST",없음,"Control: 1 vs 2 (Samoa)
Hybrid: 3 vs 1 (King's Row)
Push: 40.97m vs 85.58m (Esperança)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 1 vs 0 (Shambali Monastery)"
Lower Bracket Round 1,Toronto Defiant (3) vs Timeless (2),"March 22, 2024 - 08:30 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 4 (Hollywood)
Push: 107.23m vs 84.03m (Esperança)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 3 vs 2 (Circuit Royal)"
Lower Bracket Round 1,Luminosity Gaming (3) vs Shikigami (0),"March 22, 2024 - 06:00 KST",없음,"Control: 2 vs 1 (Nepal)
Hybrid: 2 vs 1 (Hollywood)
Push: 139.4m vs 25.7m (Colosseo)"
Lower Bracket Round 1,Students of the Game (0) vs M80 (3),"March 22, 2024 - 06:00 KST",없음,"Control: 1 vs 2 (Nepal)
Hybrid: 1 vs 3 (King's Row)
Push: 53.55m vs 102.33m (Esperança)"
Lower Bracket Round 1,Luminosity Gaming (0) vs M80 (3),"March 23, 2024 - 05:00 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 1 vs 2 (Midtown)
Push: 55.45m vs 72.35m (Colosseo)"
