Stage,Match,Date,MVP,Map Result
Third Place Match,Little Sheep (3) vs Blade (2),"April 4, 2025 - 18:00 KST",Wh4le,"Control: 1 vs 2 (Samoa)
Push: 142.41m vs 4.99m (Esperanca)
Hybrid: 3 vs 2 (Blizzard World)
Escort: 1 vs 2 (Route 66)
Escort: 1 vs 0 (Havana)"
Third Place Match,Team CC (3) vs Little Sheep (1),"April 5, 2025 - 18:00 KST",Pineapple,"Control: 2 vs 1 (Lijiang Tower)
Escort: 3 vs 2 (Havana)
Push: 124.27m vs 127.53m (Esperança)
Hybrid: 4 vs 3 (Numbani)"
Third Place Match,ROC Esports (3) vs Team XX (1),"April 4, 2025 - 20:30 KST",Belosrea,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 3 vs 0 (Suravasa)
Push: 68.6m vs 103.39m (Esperanca)
Escort: 1 vs 0 (Route 66)"
Third Place Match,Once Again (3) vs ROC Esports (1),"April 5, 2025 - 20:15 KST",shy,"Control: 2 vs 0 (Lijiang Tower)
Escort: 3 vs 0 (Route 66)
Hybrid: 1 vs 2 (Blizzard World)
Push: 142.41m vs 0m (Esperança)"
Third Place Match,Team CC (0) vs Once Again (4),"April 6, 2025 - 19:40 KST",shy,"Control: 0 vs 2 (Lijiang Tower)
Escort: 0 vs 1 (Dorado)
Push: 63.44m vs 130.56m (Esperanca)
Hybrid: 3 vs 4 (Eichenwalde)"
Third Place Match,Little Sheep (0) vs ROC Esports (3),"April 6, 2025 - 18:00 KST",Diya,"Control: 1 vs 2 (Lijiang Tower)
Escort: 2 vs 3 (Havana)
Push: 124.21m vs 139.28m (Esperanca)"
Unknown Group,ROC (ROC) vs EQU (3),"March 27, 2025 - 18:00 KST",Belosrea,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 3 vs 0 (Suravasa)
Push: 142.41m vs 34.19m (Esperança)"
Unknown Group,SL (SL) vs LS (0),"March 27, 2025 - 19:35 KST",Wh4le,"Control: 0 vs 2 (Samoa)
Hybrid: 0 vs 1 (Blizzard World)
Escort: 1 vs 2 (Havana)"
Unknown Group,BLADE (BLADE) vs CC (0),"March 27, 2025 - 21:20 KST",Kaneki,"Control: 0 vs 2 (Lijiang Tower)
Flashpoint: 0 vs 3 (Suravasa)
Push: 39.59m vs 135.42m (Esperança)"
Unknown Group,SL (SL) vs XX (0),"March 28, 2025 - 18:00 KST",Argon,"Control: 0 vs 2 (Samoa)
Escort: 0 vs 3 (Dorado)
Push: 89.85m vs 127.25m (Esperanca)"
Unknown Group,CC (CC) vs EQU (3),"March 28, 2025 - 19:45 KST",Pineapple,"Control: 2 vs 0 (Samoa)
Flashpoint: 3 vs 0 (Suravasa)
Push: 142.41m vs 28.02m (Esperanca)"
Unknown Group,OA (OA) vs LS (3),"March 28, 2025 - 21:05 KST",shy,"Control: 2 vs 0 (Lijiang Tower)
Escort: 1 vs 0 (Havana)
Push: 142.41m vs 38.67m (Esperanca)"
Unknown Group,BLADE (BLADE) vs EQU (3),"March 29, 2025 - 18:00 KST",Pride,"Control: 2 vs 1 (Lijiang Tower)
Flashpoint: 3 vs 0 (Suravasa)
Push: 98.52m vs 87.12m (Esperança)"
Unknown Group,OA (OA) vs XX (3),"March 29, 2025 - 19:35 KST",guxue,"Control: 2 vs 0 (Lijiang Tower)
Push: 142.41m vs 0m (Esperança)
Hybrid: 3 vs 0 (Eichenwalde)"
Unknown Group,ROC (ROC) vs CC (2),"March 29, 2025 - 20:55 KST",GAGA,"Control: 2 vs 1 (Lijiang Tower)
Escort: 2 vs 1 (Route 66)
Flashpoint: 2 vs 3 (Suravasa)
Push: 0m vs 142.41m (Esperança)
Escort: 2 vs 3 (Dorado)"
Unknown Group,LS (LS) vs XX (3),"March 30, 2025 - 18:00 KST",Jaya,"Control: 2 vs 0 (Lijiang Tower)
Push: 142.41m vs 38.77m (Esperanca)
Escort: 1 vs 0 (Havana)"
Unknown Group,ROC (ROC) vs BLADE (3),"March 30, 2025 - 19:30 KST",Diya,"Control: 2 vs 1 (Lijiang Tower)
Escort: 1 vs 3 (Havana)
Push: 142.41m vs 49.75m (Esperanca)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown Group,OA (OA) vs SL (3),"March 30, 2025 - 22:20 KST",LiGe,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 1 vs 0 (Havana)"
