Stage,Match,Date,MVP,Map Result
Unknown,I LOVE YOU (2) vs FURY (3),"June 18, 2025 - 20:10 KST",없음,"Control: 2 vs 0 (Oasis)
Escort: 2 vs 1 (Circuit Royal)
Flashpoint: 1 vs 3 (Suravasa)
Push: 128.71m vs 128.72m (Runasapi)
Hybrid: 2 vs 3 (King's Row)"
Unknown,99DIVINE (3) vs FURY (0),"June 18, 2025 - 23:30 KST",없음,"Control: 2 vs 0 (Oasis)
Escort: 1 vs 0 (Circuit Royal)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown,Full House (3) vs Cold Metal (1),"June 18, 2025 - 21:50 KST",없음,"Control: 2 vs 0 (Ilios)
Flashpoint: 2 vs 3 (Suravasa)
Escort: 2 vs 1 (Circuit Royal)
Hybrid: 3 vs 1 (King's Row)"
Unknown,The Gatos Guapos (3) vs Full House (1),"June 19, 2025 - 00:30 KST",없음,"Control: 2 vs 1 (Nepal)
Flashpoint: 3 vs 1 (New Junk City)
Escort: 1 vs 2 (Circuit Royal)
Push: 77.01m vs 74.56m (Runasapi)"
Unknown,99DIVINE (2) vs The Gatos Guapos (4),"June 19, 2025 - 20:00 KST",없음,"Control: 0 vs 2 (Nepal)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 1 vs 0 (Watchpoint: Gibraltar)
Push: 102.65m vs 102.66m (Runasapi)
Hybrid: 2 vs 3 (Eichenwalde)
Escort: 1 vs 2 (Circuit Royal)"
Unknown Group,MD (MD) vs FURY (1),"May 15, 2025 - 20:15 KST",없음,"Control: 0 vs 2 (Busan)
Escort: 0 vs 3 (Watchpoint: Gibraltar)
Flashpoint: 3 vs 1 (Suravasa)
Hybrid: 2 vs 3 (King's Row)"
Unknown Group,MG2 (MG2) vs MGG (2),"May 15, 2025 - 21:55 KST",없음,"Control: 2 vs 1 (Ilios)
Flashpoint: 2 vs 3 (Suravasa)
Push: 105.29m vs 122.97m (Runasapi)
Escort: 1 vs 0 (Watchpoint: Gibraltar)
Hybrid: 2 vs 3 (King's Row)"
Unknown Group,TGG (TGG) vs ILY (2),"May 16, 2025 - 00:10 KST",없음,"Control: 2 vs 0 (Oasis)
Escort: 0 vs 1 (Watchpoint: Gibraltar)
Flashpoint: 2 vs 3 (Suravasa)
Push: 122.77m vs 50.98m (Runasapi)
Hybrid: 2 vs 3 (King's Row)"
Unknown Group,FH (FH) vs 99D (0),"May 16, 2025 - 02:10 KST",없음,"Control: 0 vs 2 (Nepal)
Flashpoint: 1 vs 3 (Suravasa)
Escort: 0 vs 3 (Watchpoint: Gibraltar)"
Unknown Group,FURY (FURY) vs ILY (1),"May 22, 2025 - 20:05 KST",없음,"Control: 2 vs 0 (Ilios)
Escort: 3 vs 4 (Watchpoint: Gibraltar)
Hybrid: 0 vs 1 (King's Row)
Flashpoint: 1 vs 3 (Suravasa)"
