Stage,Match,Date,MVP,Map Result
Group,CP (CP) vs ZETA (0),"December 11, 2024 - 17:00 KST",Flora,"Control: 0 vs 2 (Busan)
Push: 104.9m vs 144.86m (Runasapi)
Escort: 1 vs 2 (Shambali Monastery)"
Group,MSG (MSG) vs VEC (3),"December 11, 2024 - 18:30 KST",Mealgaru,"Control: 2 vs 0 (Ilios)
Flashpoint: 2 vs 3 (New Junk City)
Push: 83.12m vs 115.09m (New Queen Street)
Escort: 3 vs 2 (Shambali Monastery)
Hybrid: 2 vs 1 (Midtown)"
Group,GNS (GNS) vs HJD (0),"December 11, 2024 - 20:30 KST",Mag,"Control: 0 vs 2 (Oasis)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 1 vs 2 (Shambali Monastery)"
Group,WAY (WAY) vs MSG (3),"December 12, 2024 - 17:00 KST",PEPPI,"Control: 2 vs 1 (Oasis)
Flashpoint: 3 vs 0 (Suravasa)
Push: 144.86m vs 92.26m (Runasapi)"
Group,HJD (HJD) vs ZETA (0),"December 12, 2024 - 18:40 KST",Flora,"Control: 1 vs 2 (Ilios)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 0 vs 1 (Shambali Monastery)"
Group,PF (PF) vs VEC (3),"December 12, 2024 - 20:15 KST",FiXa,"Control: 2 vs 0 (Nepal)
Flashpoint: 3 vs 2 (New Junk City)
Push: 144.86m vs 9.83m (Runasapi)"
Group,ZETA (ZETA) vs GNS (3),"December 15, 2024 - 17:00 KST",BERNAR,"Control: 2 vs 0 (Nepal)
Flashpoint: 3 vs 0 (New Junk City)
Push: 128.11m vs 44.03m (New Queen Street)"
Group,WAY (WAY) vs PF (1),"December 15, 2024 - 18:30 KST",Proud,"Control: 0 vs 2 (Ilios)
Flashpoint: 0 vs 3 (New Junk City)
Escort: 2 vs 1 (Shambali Monastery)
Hybrid: 1 vs 2 (Hollywood)"
Group,HJD (HJD) vs CP (3),"December 15, 2024 - 20:00 KST",Proud,"Control: 2 vs 1 (Nepal)
Flashpoint: 3 vs 0 (New Junk City)
Escort: 2 vs 1 (Shambali Monastery)"
Group,VEC (VEC) vs WAY (1),"December 16, 2024 - 17:00 KST",LeGo,"Control: 1 vs 2 (Busan)
Clash: 4 vs 5 (Hanaoka)
Push: 99.16m vs 82.26m (Runasapi)
Hybrid: 4 vs 6 (Hollywood)"
Group,CP (CP) vs GNS (2),"December 16, 2024 - 19:00 KST",Taejong,"Control: 2 vs 1 (Ilios)
Hybrid: 0 vs 1 (Hollywood)
Push: 144.86m vs 73.78m (Runasapi)
Flashpoint: 1 vs 3 (New Junk City)
Escort: 0 vs 2 (Shambali Monastery)"
Group,MSG (MSG) vs PF (0),"December 16, 2024 - 21:00 KST",JaeWoo,"Control: 1 vs 2 (Busan)
Flashpoint: 2 vs 3 (Suravasa)
Push: 90.22m vs 131.65m (Runasapi)"
Stage,Match,Date,MVP,Map Result
Lower Bracket Quarterfinals,ZETA DIVISION (3) vs WAY (2),"December 19, 2024 - 15:00 KST",AlphaYi,"Control: 1 vs 2 (Nepal)
Escort: 3 vs 0 (Shambali Monastery)
Flashpoint: 3 vs 1 (Suravasa)
Push: 39.19m vs 121.24m (Runasapi)
Hybrid: 2 vs 1 (Midtown)"
Lower Bracket Quarterfinals,Team Falcons (2) vs ZETA DIVISION (3),"December 19, 2024 - 19:30 KST",BERNAR,"Control: 1 vs 2 (Oasis)
Flashpoint: 1 vs 3 (New Junk City)
Push: 92.09m vs 77.98m (Runasapi)
Hybrid: 5 vs 4 (Hollywood)
Escort: 3 vs 4 (Shambali Monastery)"
