Stage,Match,Date,MVP,Map Result
Group,ENCE (4) vs FNATIC (2),"July 27, 2024 - 00:00 KST",kevster,"Control: 2 vs 1 (Lijiang Tower)
Flashpoint: 1 vs 3 (Suravasa)
Escort: 3 vs 2 (Circuit Royal)
Push: 77.09m vs 77.03m (Colosseo)
Hybrid: 2 vs 3 (Eichenwalde)
Hybrid: 2 vs 1 (Midtown)"
Group,Crazy Raccoon (4) vs ENCE (0),"July 27, 2024 - 22:00 KST",LIP,"Control: 2 vs 0 (Ilios)
Escort: 2 vs 1 (Circuit Royal)
Hybrid: 2 vs 1 (Midtown)
Push: 111.94m vs 47.61m (Runasapi)"
Group,Team Falcons (4) vs M80 (0),"July 27, 2024 - 03:15 KST",Proper,"Control: 2 vs 0 (Lijiang Tower)
Escort: 2 vs 1 (Circuit Royal)
Flashpoint: 3 vs 1 (New Junk City)
Hybrid: 2 vs 1 (Eichenwalde)"
Group,Virtus.pro (1) vs Team Falcons (4),"July 28, 2024 - 05:00 KST",Stalk3r,"Control: 0 vs 2 (Ilios)
Escort: 2 vs 3 (Shambali Monastery)
Flashpoint: 1 vs 3 (Suravasa)
Hybrid: 3 vs 2 (Midtown)
Push: 50.84m vs 104.13m (Runasapi)"
Group,Crazy Raccoon (4) vs Team Falcons (1),"July 29, 2024 - 00:00 KST",LIP,"Control: 2 vs 0 (Busan)
Push: 83.85m vs 92.24m (Runasapi)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 2 vs 1 (Shambali Monastery)
Hybrid: 2 vs 1 (Eichenwalde)"
Group,Spacestation (4) vs Gaimin Gladiators (0),"July 26, 2024 - 22:00 KST",Hadi,"Control: 2 vs 1 (Lijiang Tower)
Escort: 4 vs 3 (Circuit Royal)
Push: 144.86m vs 8.57m (Runasapi)
Hybrid: 3 vs 2 (Midtown)"
Group,ZETA DIVISION (4) vs Spacestation (2),"July 27, 2024 - 23:50 KST",Flora,"Control: 2 vs 1 (Ilios)
Escort: 1 vs 3 (Circuit Royal)
Flashpoint: 3 vs 1 (Suravasa)
Push: 55.58m vs 89.59m (Runasapi)
Hybrid: 3 vs 1 (Hollywood)
Control: 2 vs 1 (Lijiang Tower)"
Group,Toronto Ultra (4) vs LGD.OA (1),"July 27, 2024 - 04:45 KST",Sugarfree,"Control: 2 vs 1 (Lijiang Tower)
Push: 137.84m vs 88.33m (Colosseo)
Hybrid: 2 vs 1 (Midtown)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 2 vs 1 (Circuit Royal)"
Group,Twisted Minds (0) vs Toronto Ultra (4),"July 28, 2024 - 03:15 KST",MER1T,"Control: 1 vs 2 (Ilios)
Escort: 0 vs 1 (Shambali Monastery)
Hybrid: 1 vs 2 (Midtown)
Flashpoint: 2 vs 3 (Suravasa)"
Group,ZETA DIVISION (3) vs Toronto Ultra (4),"July 29, 2024 - 02:00 KST",SOMEONE,"Control: 0 vs 2 (Busan)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 0 vs 1 (Circuit Royal)
Push: 70.06m vs 54.81m (Colosseo)
Hybrid: 1 vs 2 (Midtown)
Escort: 4 vs 3 (Dorado)
Push: 52.97m vs 85.59m (Runasapi)"
Group,Crazy Raccoon (4) vs Toronto Ultra (1),"July 29, 2024 - 04:00 KST",SOMEONE,"Control: 2 vs 0 (Lijiang Tower)
Escort: 5 vs 4 (Circuit Royal)
Flashpoint: 3 vs 1 (New Junk City)
Push: 130.42m vs 130.43m (Runasapi)
Hybrid: 3 vs 1 (Eichenwalde)"
Group,INS (INS) vs REV (3),"August 12, 2024 - 19:00 KST",Undersea,"Control: 1 vs 2 (Nepal)
Escort: 0 vs 3 (Shambali Monastery)
Flashpoint: 3 vs 0 (Suravasa)
Hybrid: 3 vs 2 (Paraiso)
Push: 135.94m vs 15.28m (Colosseo)"
Group,MFCSP (MFCSP) vs NMB (3),"August 12, 2024 - 21:00 KST",Romani,"Control: 2 vs 1 (Lijiang Tower)
Escort: 5 vs 3 (Junkertown)
Hybrid: 1 vs 2 (Blizzard World)
Flashpoint: 1 vs 3 (Suravasa)
Push: 121.08m vs 55.53m (Runasapi)"
Group,NG (NG) vs VL (2),"August 13, 2024 - 00:15 KST",KSG,"Control: 0 vs 2 (Lijiang Tower)
Push: 0.22m vs 144.86m (Runasapi)
Hybrid: 2 vs 1 (King's Row)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 1 vs 2 (Dorado)"
Group,TLM (TLM) vs LAZ (0),"August 13, 2024 - 19:00 KST",Hidden,"Control: 0 vs 2 (Lijiang Tower)
Unknown: 0 vs 3 (Suravasa)
Push: 0m vs 144.86m (Runasapi)"
Group,NG (NG) vs MFCSP (3),"August 13, 2024 - 20:20 KST",DOX,"Control: 2 vs 0 (Samoa)
Flashpoint: 3 vs 0 (Suravasa)
Push: 66.24m vs 72.03m (Runasapi)
Escort: 1 vs 2 (Circuit Royal)
Hybrid: 2 vs 1 (Blizzard World)"
Group,REV (REV) vs NMB (3),"August 13, 2024 - 23:00 KST",Hofac,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 1 vs 0 (King's Row)
Flashpoint: 3 vs 1 (Suravasa)"
Group,INS (INS) vs TLM (3),"August 14, 2024 - 19:00 KST",Ade,"Control: 2 vs 0 (Samoa)
Flashpoint: 3 vs 0 (Suravasa)
Hybrid: 1 vs 0 (Blizzard World)"
Group,VL (VL) vs LAZ (2),"August 14, 2024 - 20:10 KST",Hidden,"Control: 2 vs 0 (Samoa)
Hybrid: 2 vs 3 (Eichenwalde)
Push: 28.37m vs 139.48m (Colosseo)
Escort: 2 vs 1 (Shambali Monastery)
Flashpoint: 2 vs 3 (Suravasa)"
