Stage,Match,Date,MVP,Map Result
Lower Bracket Round 1,Team Falcons (2) vs Al Qadsiah (1),"April 18, 2025 - 14:10 KST",Proper,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 2 vs 3 (Suravasa)
Push: 141.84m vs 7.66m (Runasapi)"
Lower Bracket Round 1,Virtus.pro (0) vs Once Again (2),"April 18, 2025 - 16:00 KST",Leave,"Control: 0 vs 2 (Lijiang Tower)
Escort: 2 vs 3 (Circuit Royal)"
Lower Bracket Round 1,Team Falcons (3) vs Once Again (2),"April 19, 2025 - 15:55 KST",Stalk3r,"Control: 2 vs 0 (Ilios)
Flashpoint: 1 vs 3 (Suravasa)
Push: 101.24m vs 101.25m (Runasapi)
Escort: 2 vs 1 (Circuit Royal)
Push: 114.81m vs 90.65m (Esperança)"
Lower Bracket Round 1,NTMR (2) vs Team CC (0),"April 18, 2025 - 17:10 KST",zeruhh,"Control: 2 vs 0 (Ilios)
Flashpoint: 3 vs 0 (Suravasa)"
Lower Bracket Round 1,Crazy Raccoon (2) vs Spacestation (0),"April 18, 2025 - 18:45 KST",LIP,"Control: 2 vs 0 (Ilios)
Push: 142.41m vs 69.01m (Esperança)"
Lower Bracket Round 1,NTMR (3) vs Crazy Raccoon (1),"April 19, 2025 - 14:00 KST",zeruhh,"Control: 0 vs 2 (Ilios)
Hybrid: 3 vs 2 (King's Row)
Push: 80.94m vs 56.87m (New Queen Street)
Escort: 3 vs 2 (Route 66)"
Lower Bracket Round 1,Team Falcons (3) vs NTMR (0),"April 20, 2025 - 15:15 KST",Proper,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 4 vs 3 (King's Row)
Push: 116.21m vs 74.6m (Runasapi)"
Lower Bracket Round 1,Al Qadsiah (0) vs Virtus.pro (3),"April 18, 2025 - 19:30 KST",FiXa,"Control: 0 vs 2 (Lijiang Tower)
Flashpoint: 0 vs 3 (Suravasa)
Push: 98.28m vs 105.34m (Esperança)"
Lower Bracket Round 1,Crazy Raccoon (3) vs Virtus.pro (1),"April 19, 2025 - 18:00 KST",HeeSang,"Control: 2 vs 0 (Lijiang Tower)
Escort: 3 vs 2 (Circuit Royal)
Hybrid: 1 vs 3 (King's Row)
Push: 142.41m vs 7.86m (Esperança)"
Lower Bracket Round 1,Team CC (0) vs Spacestation (3),"April 18, 2025 - 20:35 KST",sugarfree,"Control: 0 vs 2 (Ilios)
Flashpoint: 1 vs 3 (Suravasa)
Escort: 1 vs 2 (Route 66)"
Lower Bracket Round 1,Once Again (3) vs Spacestation (1),"April 19, 2025 - 19:35 KST",shy,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 1 vs 0 (King's Row)
Escort: 0 vs 1 (Circuit Royal)
Push: 78.32m vs 78.31m (Esperança)"
Lower Bracket Round 1,Crazy Raccoon (3) vs Once Again (0),"April 19, 2025 - 21:10 KST",Shu,"Control: 2 vs 0 (Ilios)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 3 vs 0 (Route 66)"
Lower Bracket Round 1,NTMR (0) vs Crazy Raccoon (3),"April 20, 2025 - 16:50 KST",LIP,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 2 (King's Row)
Escort: 0 vs 1 (Circuit Royal)"
Lower Bracket Round 1,Team Falcons (2) vs Crazy Raccoon (4),"April 20, 2025 - 18:30 KST",Shu,"Control: 2 vs 1 (Oasis)
Flashpoint: 1 vs 3 (Suravasa)
Push: 133.25m vs 85.17m (Runasapi)
Escort: 2 vs 3 (Route 66)
Push: 68.96m vs 125.3m (Esperança)
Escort: 3 vs 4 (Circuit Royal)"
