Player,Romanized Name,Nationality,Born,Status,Role,Team,Signature Heroes,Game Appearances,Approx. Total Winnings
tunder,,Brazil,"April 26, 2004 (age 21)",Active,DPS,ZoKorp Esports,"Sojourn, Tracer, Cassidy",Overwatch 2,$140
speed75,,Indonesia Saudi Arabia,,Active,DPS,Cold Metal,"Tracer, Ashe, Pharah",Overwatch 2,"$3,729"
Hesty,Yoshikazu Honda,Japan,"September 17, 1999 (age 25)",Active,Support,REVATI,"Lúcio, Baptiste, Brigitte",Overwatch 2,"$1,421"
Zeb,,United States,"January 27, 2002 (age 23)",Active,Tank,Sakura Esports,"Orisa, Sigma, Ramattra",Overwatch Overwatch 2,"$6,162"
pela,,United States,"January 21, 2005 (age 20)",Active,Tank,Dreamland,"Wrecking Ball, Winston, Mauga",Overwatch Overwatch 2,"$3,840"
mazz,,Japan,"January 14, 2001 (age 24)",Active,Support,Aplomb Tiger,"Ana, Zenyatta, Brigitte",Overwatch Overwatch 2,"$1,447"
cookie084,,Germany,,Active,DPS Coach,Team Peps,"Sojourn, Widowmaker",Overwatch Overwatch 2,"$11,998"
Remaker,Yi Jiajun,China,"October 29, 2004 (age 20)",Active,DPS,ZONES,"Freja, Sojourn, Cassidy",,$837
Aki,,,,,,,,,
D4RT,Go Min-hyuk,South Korea,"November 15, 2004 (age 20)",Active,DPS,Poker Face,"Genji, Tracer, Venture",Overwatch Overwatch 2,"$4,082"
FREGRE,,,,,,,,,
pokotaros,,,,,,,,,
Esteban,,,,,,,,,
Eileen,Ou Yiliang,China,"September 26, 2000 (age 24)",Active,DPS,Milk Tea,"Genji, Sombra, Tracer",,"$36,546"
hamster,,Australia,,Active,Support,FURY,"Moira, Mercy, Lifeweaver",Overwatch 2,$755
Faith,Kim Hong-gyu,South Korea,"November 16, 2001 (age 23)",Active,Support Coach,,"Lúcio, Mercy, Brigitte",Overwatch Overwatch 2,"$14,985"
revzi,,New Zealand Philippines,,Active,DPS,,,Overwatch 2,"$1,224"
Prophet,Kim Hyun-been,South Korea,"September 27, 2005 (age 19)",Active,DPS,,"Widowmaker, Ashe, Cassidy",Overwatch Overwatch 2,"$16,286"
Kurumi,So Chun-kit,Hong Kong,"November  2, 2003 (age 21)",Active,DPS,,"Widowmaker, Ashe, Sojourn",Overwatch Overwatch 2,"$2,430"
Taejong,Yoo Tae-jong,South Korea,"August  1, 2006 (age 18)",Active,DPS,ROC Esports,"Tracer, Widowmaker, Genji",Overwatch 2,"$7,685"
WoochaN,Lee Woo-chan,South Korea,"November 26, 2003 (age 21)",Active,Support DPS,,"Genji, Hanzo, Ana",Overwatch Overwatch 2,"$13,534"
D0NGHAK,Kim Min-sung,South Korea,"December  3, 2005 (age 19)",Active,Tank,T1,"Wrecking Ball, Winston, Doomfist",Overwatch Overwatch 2,"$85,000"
UYOU,Um Ho-yong,South Korea,"September  8, 2005 (age 19)",Active,Tank,Please Not Hero Ban,,Overwatch 2,"$2,257"
cuFFa,,Australia,"August 19, 2003 (age 21)",Active,Tank,Geekay Esports,"Winston, Wrecking Ball, Junker Queen",Overwatch Overwatch 2,"$51,167"
Seicoe,,Austria,November 19,Active,DPS,Twisted Minds,"Echo, Mei, Venture",Overwatch Overwatch 2,"$79,579"
DML,,Australia,,Active,DPS,FURY,"Sojourn, Cassidy, Tracer",Overwatch Overwatch 2,"$1,081"
Mealgaru,Lee Jeong-hwan,South Korea,"February 25, 2006 (age 19)",Active,Tank,All Gamers Global,"Wrecking Ball, Winston, Hazard",Overwatch Overwatch 2,"$8,211"
Youbi,Ahmad Alyoubi,Saudi Arabia,"May  5, 2002 (age 23)",Active,DPS,Twisted Minds,"Symmetra, Mei, Tracer",Overwatch Overwatch 2,"$111,785"
ProYung,,,,,,,,,
Tamper,Ma Ji-min,South Korea,"March 15, 2002 (age 23)",Active,Support,,"Kiriko, Ana, Genji",Overwatch Overwatch 2,"$3,919"
StillKIWI,,El Salvador,"August  6, 2003 (age 21)",Active,Support,ZoKorp Esports,"Lúcio, Baptiste, Brigitte",Overwatch Overwatch 2,"$3,212"
scuffed,,United States,"June 25, 2004 (age 21)",Active,Support,Extinction DhillKucks,"Kiriko, Baptiste, Juno",Overwatch Overwatch 2,"$6,997"
TwolzZ,,Netherlands,"December 23, 2001 (age 23)",Active,Tank Flex,Extinction,"D.Va, Sigma, Zarya",Overwatch Overwatch 2,"$10,878"
KSG,Inoue Tomoharu,Japan,,Active,Tank,VARREL,"Winston, Doomfist, Orisa",Overwatch Overwatch 2,"$10,074"
Khenail,,Spain,"August 20, 2005 (age 19)",Active,Support,Gen.G Esports,"Baptiste, Zenyatta, Ana",Overwatch Overwatch 2,"$31,068"
yoham,,Denmark,"July 28, 2003 (age 22)",Active,Support,1DIPVS100GORILLAS,"Baptiste, Kiriko, Ana",Overwatch Overwatch 2,"$7,580"
R3K,Lee Yu-shek,Hong Kong,"August  1, 2005 (age 19)",Active,Tank,Milk Tea,"Doomfist, Junker Queen, Sigma",Overwatch Overwatch 2,"$9,616"
crispy,,United Kingdom,"April 25, 2005 (age 20)",Active,Support,,"Lúcio, Mercy, Brigitte",Overwatch Overwatch 2,"$14,281"
Dip,,France,"August 28, 2006 (age 18)",Active,DPS,1DIPVS100GORILLAS Frost Tails eSport,"Tracer, Genji, Echo",Overwatch 2,"$5,029"
Lengsa,Chen Jingyi,China,"July 30, 2001 (age 23)",Active,Support,ROC Esports,"Brigitte, Lúcio, Baptiste",,"$121,391"
Estreichh,,Australia Germany,"November 18, 2003 (age 21)",Active,Tank Coach,FURY,"D.Va, Sigma, Wrecking Ball",Overwatch 2,"$1,154"
gogo,,France,"September  6, 2003 (age 21)",Active,Support,Frost Tails eSport,"Lúcio, Brigitte, Baptiste",Overwatch Overwatch 2,"$5,246"
Exrai,,Australia Germany,"June 25, 2005 (age 20)",Active,Support,FURY,"Ana, Baptiste, Kiriko",Overwatch Overwatch 2,"$1,627"
Juno,,,,,Support,,,,
Simple,Kim Ji-sung,South Korea,"December  9, 2004 (age 20)",Active,Support,Twisted Minds,"Ana, Zenyatta, Brigitte",Overwatch Overwatch 2,"$21,509"
