hero_name,type,name,description,attribute,attribute_detail
D.Va,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,health,150
D.Va,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,dmg. reduction,-25% taken
D.Va,Ability,Eject!,Eject out of your mech when it's destroyed.,health,150
D.Va,Ability,Eject!,Eject out of your mech when it's destroyed.,cast time,1.5 seconds
D.Va,Ability,Fusion Cannons,Automatic short-range spread weapons.,damage,2 – 0.6
D.Va,Ability,Fusion Cannons,Automatic short-range spread weapons.,falloff range,10 - 20 meters
D.Va,Ability,Fusion Cannons,Automatic short-range spread weapons.,headshot,✓ (x2)
D.Va,Ability,Fusion Cannons,Automatic short-range spread weapons.,rate of fire,6.667 shots/s
D.Va,Ability,Fusion Cannons,Automatic short-range spread weapons.,bullets per shot,11 per shot
D.Va,Ability,Fusion Cannons,Automatic short-range spread weapons.,ammo,∞
D.Va,Ability,Fusion Cannons,Automatic short-range spread weapons.,spread angle,3.375 degrees
D.Va,Ability,Fusion Cannons,Automatic short-range spread weapons.,mov. speed penalty,-30%
D.Va,Ability,Fusion Cannons,Automatic short-range spread weapons.,projectile radius,0.04 meters
D.Va,Ability,Light Gun,Automatic weapon.,damage,14
D.Va,Ability,Light Gun,Automatic weapon.,headshot,✓ (x2)
D.Va,Ability,Light Gun,Automatic weapon.,rate of fire,7 shots/s
D.Va,Ability,Light Gun,Automatic weapon.,ammo,20
D.Va,Ability,Light Gun,Automatic weapon.,reload time,1.4 seconds
D.Va,Ability,Light Gun,Automatic weapon.,projectile speed,50 m/s
D.Va,Ability,Light Gun,Automatic weapon.,projectile radius,0.275 meters
D.Va,Ability,Defense Matrix,Block projectiles in an area in front of you.,cast time,None
D.Va,Ability,Defense Matrix,Block projectiles in an area in front of you.,duration,0.5 seconds (min)3 seconds (max)
D.Va,Ability,Defense Matrix,Block projectiles in an area in front of you.,max. range,10 meters
D.Va,Ability,Defense Matrix,Block projectiles in an area in front of you.,cooldown,1 second
D.Va,Ability,BoostersLSHIFT,Fly in the direction you are facing.,damage,25
D.Va,Ability,BoostersLSHIFT,Fly in the direction you are facing.,headshot,✕
D.Va,Ability,BoostersLSHIFT,Fly in the direction you are facing.,cast time,None
D.Va,Ability,BoostersLSHIFT,Fly in the direction you are facing.,duration,0.4 seconds (min)2 seconds (max)
D.Va,Ability,BoostersLSHIFT,Fly in the direction you are facing.,max. range,24 meters
D.Va,Ability,BoostersLSHIFT,Fly in the direction you are facing.,mov. speed buff,+118%
D.Va,Ability,BoostersLSHIFT,Fly in the direction you are facing.,knockback speed,17.2 m/s
D.Va,Ability,BoostersLSHIFT,Fly in the direction you are facing.,cooldown,3.5 seconds
D.Va,Ability,Micro MissilesE,Launch a volley of explosive rockets.,damage,"3 (direct hit bonus)5.5 - 1.375 (splash, enemy)5.5 - 1.375 (splash, self)"
D.Va,Ability,Micro MissilesE,Launch a volley of explosive rockets.,headshot,✕
D.Va,Ability,Micro MissilesE,Launch a volley of explosive rockets.,rate of fire,11 shots/s
D.Va,Ability,Micro MissilesE,Launch a volley of explosive rockets.,ammo,18
D.Va,Ability,Micro MissilesE,Launch a volley of explosive rockets.,cast time,0.256 + 0 seconds
D.Va,Ability,Micro MissilesE,Launch a volley of explosive rockets.,area of effect,1.4 meter splash radius
D.Va,Ability,Micro MissilesE,Launch a volley of explosive rockets.,projectile speed,50 m/s
D.Va,Ability,Micro MissilesE,Launch a volley of explosive rockets.,projectile radius,0.175 meters
D.Va,Ability,Micro MissilesE,Launch a volley of explosive rockets.,cooldown,7 seconds
D.Va,Ability,Self-DestructQ,"Eject and overload your mech, causing it to explode after a short time.",damage,1000 - 100
D.Va,Ability,Self-DestructQ,"Eject and overload your mech, causing it to explode after a short time.",headshot,✕
D.Va,Ability,Self-DestructQ,"Eject and overload your mech, causing it to explode after a short time.",cast time,0 + 0.13 seconds
D.Va,Ability,Self-DestructQ,"Eject and overload your mech, causing it to explode after a short time.",duration,3 seconds
D.Va,Ability,Self-DestructQ,"Eject and overload your mech, causing it to explode after a short time.",area of effect,6 - 20 meter radius
D.Va,Ability,Self-DestructQ,"Eject and overload your mech, causing it to explode after a short time.",knockback speed,22.1 m/s
D.Va,Ability,Call MechQ,Call down a new mech.,damage,250
D.Va,Ability,Call MechQ,Call down a new mech.,headshot,✕
D.Va,Ability,Call MechQ,Call down a new mech.,cast time,0.9 + 2 seconds
D.Va,Ability,Call MechQ,Call down a new mech.,max. range,1.5 meters
D.Va,Ability,Call MechQ,Call down a new mech.,area of effect,3 meter radius
D.Va,Ability,Call MechQ,Call down a new mech.,knockback speed,15.1 m/s
D.Va,Perk,Bunny Power,Eject grants 75 temporary overhealth and Call Mech's damage radius is increased by 50%.,overhealth,75
D.Va,Perk,Bunny Power,Eject grants 75 temporary overhealth and Call Mech's damage radius is increased by 50%.,duration,10 seconds
D.Va,Perk,Bunny Power,Eject grants 75 temporary overhealth and Call Mech's damage radius is increased by 50%.,area of effect,4.5 meter radius
D.Va,Perk,Extended Boosters,Hitting an enemy with Boosters increases the duration by 0.5 seconds.,,
D.Va,Perk,Shield System,Convert 150 health to shields. Defense Matrix restores shields based on 25% of its damage absorbed.,health,-150
D.Va,Perk,Shield System,Convert 150 health to shields. Defense Matrix restores shields based on 25% of its damage absorbed.,shields,+150 (base health converted)25% of damage absorbed (recharging)
